ID	DJ	GIC31	RW1	RW2	Rleg
phrog_6386	1	1	1	1	1
phrog_6397	1	1	1	1	1
phrog_6416	1	0	0	0	0
phrog_6444	1	1	0	1	1
phrog_646	1	0	0	0	0
phrog_6494	0	0	0	0	1
phrog_65	1	0	0	0	0
phrog_66	1	0	1	0	1
phrog_6636	0	0	0	0	1
phrog_669	1	0	0	0	1
phrog_67	1	0	0	0	1
phrog_6700	1	1	0	1	1
phrog_6705	1	0	1	0	0
phrog_671	0	1	0	1	0
phrog_6745	0	1	0	1	0
phrog_678	0	0	0	0	1
phrog_68	1	0	0	0	0
phrog_6819	0	1	0	1	1
phrog_686	0	0	1	0	0
phrog_688	0	0	0	0	1
phrog_6880	1	1	0	1	1
phrog_69	0	0	0	0	1
phrog_6929	1	1	0	1	1
phrog_70	1	0	0	0	0
phrog_7043	0	0	0	1	1
phrog_7076	0	1	0	1	0
phrog_71	1	0	0	0	0
phrog_7162	1	1	0	1	0
phrog_7180	1	1	0	1	1
phrog_7218	1	1	0	1	1
phrog_724	1	0	0	0	0
phrog_7241	0	0	0	0	1
phrog_7245	0	0	0	1	1
phrog_7251	1	0	0	0	0
phrog_729	1	1	0	1	1
phrog_73	1	0	0	0	0
phrog_7308	1	1	0	1	1
phrog_7320	1	1	0	1	1
phrog_7339	0	0	0	0	1
phrog_74	1	0	0	0	0
phrog_759	0	1	0	1	0
phrog_76	1	0	0	0	0
phrog_761	1	1	1	1	1
phrog_7620	1	1	0	1	1
phrog_77	1	1	0	1	1
phrog_7767	1	0	0	1	0
phrog_7800	1	0	0	1	1
phrog_7854	0	1	0	1	0
phrog_7878	1	0	0	0	0
phrog_789	1	1	1	1	1
phrog_7930	1	0	0	0	1
phrog_795	1	0	0	0	0
phrog_7951	0	0	0	0	1
phrog_7995	1	0	0	0	0
phrog_8	1	1	0	1	1
phrog_8048	0	1	0	0	0
phrog_811	1	0	0	0	0
phrog_8124	0	1	0	1	0
phrog_8156	0	0	0	0	1
phrog_8289	0	0	0	0	1
phrog_8337	0	0	0	0	1
phrog_836	0	1	0	0	0
phrog_84	1	1	0	1	1
phrog_841	1	1	1	1	1
phrog_8429	1	1	0	1	1
phrog_843	0	1	0	1	0
phrog_844	1	0	0	0	1
phrog_8463	1	0	0	0	1
phrog_8468	1	1	0	1	1
phrog_8480	1	0	0	0	0
phrog_86	1	1	0	1	1
phrog_867	1	0	0	0	0
phrog_8784	1	0	1	0	1
phrog_883	1	1	0	1	1
phrog_89	1	0	0	0	0
phrog_894	0	0	0	0	1
phrog_8945	1	0	0	0	0
phrog_8990	1	1	0	1	0
phrog_8995	0	1	0	1	1
phrog_9066	0	0	0	1	0
phrog_9148	1	1	1	1	1
phrog_9151	1	0	0	0	0
phrog_9240	1	1	0	1	1
phrog_9270	1	1	0	1	1
phrog_9298	0	0	0	0	1
phrog_93	1	0	0	0	0
phrog_938	0	0	0	0	1
phrog_94	1	1	0	1	1
phrog_9454	1	1	0	1	1
phrog_947	1	1	0	1	1
phrog_95	1	1	0	0	1
phrog_9500	1	1	0	1	0
phrog_956	1	1	0	0	1
phrog_9582	1	1	0	1	1
phrog_9611	1	0	0	0	1
phrog_97	1	1	0	1	1
phrog_9787	1	1	0	1	1
phrog_9896	0	1	0	1	1
phrog_990	1	1	0	1	1
phrog_9968	1	1	0	1	1
phrog_9992	1	0	0	0	0
