ID	Function
GVOG12725	putative DNA-directed RNA polymerase II subunit N | RNA polymerase, subunit 10
GVOGm0002	uncharacterized protein | uncharacterized protein | uncharacterized protein | uncharacterized protein
GVOG12552	uncharacterized protein
GVOGm1399	translation initiation factor 4E
GVOGm0311	DNA-directed RNA polymerase II subunit RPB7
GVOGm0735	uncharacterized protein
GVOGm0043	FtsJ-like methyltransferase
GVOGm1030	DNA-directed RNA polymerase, subunit M/ Transcription elongation factor TFIIS
GVOGm0451	DNA repair nuclease
GVOGm0050	serine/threonine protein kinase
GVOGm1445	asparagine synthase
GVOGm0569	putative deoxynucleoside kinase | Thymidylate kinase | deoxynucleoside kinase
GVOGm0008	uncharacterized protein
GVOGm0678	DNA topoisomerase I
GVOGm0153	uncharacterized protein
GVOGm0205	RNA ligase (conserved in irido-, asfa- asco- and Marseille viruses)
GVOGm0007	FLAP-like endonuclease XPG
GVOGm0338	uncharacterized protein
GVOGm0030	uncharacterized protein | uncharacterized protein
GVOGm0034	glycosyltransferase
GVOGm0454	bifunctional dihydrofolate reductase-thymidylate synthase
GVOG11238	ribonuclease
GVOGm0302	uncharacterized protein
GVOGm0828	uncharacterized protein
GVOGm0429	uncharacterized protein | Serine/Threonine protein kinase | uncharacterized protein | Serine/Threonine protein kinases | Serine/Threonine protein kinase | F10-like kinase
GVOGm0204	uncharacterized protein
GVOGm0232	uncharacterized protein
GVOGm0389	uncharacterized protein
GVOGm0116	uncharacterized protein
GVOGm0250	putative DNA mismatch repair protein MutS
GVOGm0507	uncharacterized protein | uncharacterized protein
GVOGm0006	uncharacterized protein
GVOGm0480	putative link-domain-containing protein
GVOGm0413	putative helicase/exonuclease | DEDDh 3'-5' exonuclease
GVOGm0137	uncharacterized protein
GVOGm0905	uncharacterized protein | SAM dependent methyltransferase
GVOGm0503	NAD+ dependent DNA ligase | NAD-dependent DNA ligase | DNA polymerase family X
GVOG08084	uncharacterized protein
GVOGm0070	no_annotation
GVOGm0610	DEAD/SNF2-like helicase
GVOGm0123	uncharacterized protein
GVOGm0040	uncharacterized protein
GVOGm0444	uncharacterized protein
GVOGm0439	uncharacterized protein
GVOGm0393	ribonuclease II
GVOGm0548	Hsp70 protein | heat shock protein 70
GVOGm1522	Pif1 helicase
GVOGm0666	uncharacterized protein
GVOG12532	uncharacterized protein
GVOGm0368	uncharacterized protein
GVOGm0255	AAA family ATPase - unique in NCLDV; ATPase domain similar to repl_factorC_sub2
GVOGm0723	uncharacterized protein
GVOGm0390	uncharacterized protein
GVOGm0105	papain-like cysteine peptidase (Cathepsin B group)
GVOGm1547	uncharacterized protein
GVOGm0290	cytosine methyltransferase
GVOGm0405	uncharacterized protein
GVOGm0982	no_annotation
GVOGm0722	uncharacterized protein
GVOG13059	uncharacterized protein
GVOG13771	inactivated thioredoxin/glutaredoxin
GVOG12372	uncharacterized protein
GVOGm1370	ubiquitin-conjugating enzyme E2 | uncharacterized protein | UBCc, Ubiquitin-conjugating enzyme E2
GVOGm0148	uncharacterized protein
GVOGm0032	Dual specificity phosphatases (DSP); Ser/Thr and Tyr protein phosphatases
GVOGm0295	ribonuclease H
GVOGm0599	uncharacterized protein
GVOGm0206	uncharacterized protein
GVOGm0417	uncharacterized protein | Zn-finger protein
GVOG09729	uncharacterized protein
GVOGm1304	uncharacterized protein
GVOGm1595	Ubiquitin
GVOGm1011	uncharacterized protein | uncharacterized protein
GVOGm0313	cold-shock DNA-binding protein
GVOGm0808	uncharacterized protein
GVOGm0170	putative glycosyltransferase
GVOGm0109	uncharacterized protein
GVOGm0672	uncharacterized protein
GVOGm0544	uncharacterized protein
GVOGm0662	uncharacterized protein
GVOGm0192	uncharacterized protein
GVOGm0713	uncharacterized protein
GVOGm1552	uncharacterized protein
GVOGm0720	uncharacterized protein
GVOGm1105	uncharacterized protein
GVOG14051	Thioredoxin
GVOGm0155	uncharacterized protein
GVOG11896	AAA family ATPase - unique in NCLDV; ATPase domain similar to repl_factorC_sub2
GVOGm0081	DnaJ domain | uncharacterized protein | uncharacterized protein
GVOGm0959	no_annotation
GVOGm1601	uncharacterized protein
GVOG10303	uncharacterized protein
GVOG13061	uncharacterized protein
GVOGm0065	uncharacterized protein
GVOGm0134	Flavin-containing amine oxidoreductase
GVOGm1106	uncharacterized protein
GVOG11230	no_annotation
GVOGm0044	uncharacterized protein
GVOGm0124	putative transcription initiation factor IIB
GVOGm0349	no_annotation
GVOGm0631	uncharacterized protein
GVOGm0077	no_annotation
GVOGm0141	uncharacterized protein
GVOGm0163	bifunctional dihydrofolate reductase-thymidylate synthase
GVOGm1657	uncharacterized protein
GVOGm0504	uncharacterized protein
GVOGm0194	uncharacterized protein
GVOGm1462	uncharacterized protein
GVOGm0093	uncharacterized protein | uncharacterized protein
GVOG12904	uncharacterized protein
GVOGm0167	uncharacterized protein
GVOGm0066	uncharacterized protein
GVOGm0113	uncharacterized protein
GVOGm0236	Ras-like GTP-binding protein | Ras-like GTPase
GVOGm0855	uncharacterized protein
GVOGm0117	uncharacterized protein
GVOGm0527	uncharacterized protein | uncharacterized protein
GVOGm0097	inactivated thioredoxin/glutaredoxin
GVOGm0761	no_annotation
GVOG10298	no_annotation
GVOGm1321	F-box and FNIP repeat-containing proteins
GVOGm0932	uncharacterized protein
GVOGm0203	uncharacterized protein
GVOGm0923	uncharacterized protein
GVOGm0660	uncharacterized protein | uncharacterized protein
GVOGm0531	superoxide dismutase
GVOGm0775	no_annotation
GVOGm0983	uncharacterized protein
GVOGm0240	Zn-finger protein
GVOGm0873	AarF, Predicted unusual protein kinase
GVOG12150	UBCc, Ubiquitin-conjugating enzyme E2
GVOGm0080	no_annotation
GVOG09736	putative RNaseH
GVOGm0267	uncharacterized protein
GVOGm1538	uncharacterized protein
GVOG11596	uncharacterized protein
GVOGm0727	Nudix hydrolase
GVOGm0142	no_annotation
GVOGm0151	uncharacterized protein
GVOG01957	uncharacterized protein
GVOGm0225	mitochondrial carrier-like protein
GVOGm0110	no_annotation
GVOGm0534	no_annotation
GVOGm0180	uncharacterized protein
GVOGm0324	no_annotation
GVOGm0486	no_annotation
GVOGm0010	uncharacterized protein
GVOGm0286	uncharacterized protein
GVOGm0158	putative helicase/exonuclease | UvrD/REP helicase
GVOGm0291	no_annotation
GVOGm0281	no_annotation
GVOGm0594	DNA-directed RNA polymerase subunit alpha
GVOGm0082	ABC transporter
GVOGm0785	AP (apurinic) endonuclease family 2 | DNA polymerase family X
GVOGm0067	deoxynucleotide monophosphate kinase (dNMP) kinase
GVOGm0330	metalloproteinase
GVOGm0248	no_annotation
GVOGm0427	no_annotation
GVOGm0111	uncharacterized protein
GVOG09027	deoxyribodipyrimidine photolyase
GVOGm0261	no_annotation
GVOGm0346	class 3 Lipase
GVOGm0321	no_annotation
GVOGm0523	uncharacterized protein
GVOGm0326	Zn-dependent peptidase
GVOGm0064	no_annotation
GVOGm0658	adenine-specific DNA methyltransferase
GVOGm0103	no_annotation
GVOGm0891	no_annotation
GVOGm0037	Helix-turn-helix XRE-family like protein
GVOGm0907	no_annotation
GVOGm0356	no_annotation
GVOGm0161	uncharacterized protein
GVOGm0584	no_annotation
GVOGm0576	no_annotation
GVOGm0387	no_annotation
GVOGm0224	uncharacterized protein
GVOGm0396	uncharacterized protein
GVOGm0698	Thioredoxin
GVOGm0299	uncharacterized protein
GVOGm0355	exostosin | uncharacterized protein
GVOGm0219	no_annotation
GVOGm0164	uncharacterized protein
GVOGm0132	uncharacterized protein
GVOGm0388	no_annotation
GVOGm0424	no_annotation
GVOG09032	asparagine synthase
GVOGm0190	uncharacterized protein
GVOGm0502	ELP3-like acetyltransferase
GVOGm0344	no_annotation
GVOGm0623	no_annotation
GVOGm0211	
GVOGm0266	no_annotation
GVOGm0460	uncharacterized protein
GVOGm0029	no_annotation
GVOGm1119	guanosine monophosphate reductase
GVOGm0640	uncharacterized protein
GVOGm0619	no_annotation
GVOG13672	no_annotation
GVOGm1233	no_annotation
GVOGm0265	adenine specific DNA methyltransferase
GVOGm0005	uncharacterized protein
GVOGm0227	no_annotation
GVOGm0287	ATP-dependent DNA ligase
GVOGm0381	no_annotation
GVOGm0201	no_annotation
GVOGm0376	no_annotation
GVOG09716	FAD-dependent thymidylate synthase
GVOGm0260	no_annotation
GVOGm0193	ankyrin repeat protein | ankyrin repeat protein | ankyrin repeat protein | ankyrin repeat protein | ankyrin repeat protein | ankyrin repeat protein | ankyrin repeat protein | ankyrin repeat protein | ankyrin repeat protein | ankyrin repeat protein | ankyrin repeat protein | ankyrin repeat protein | ankyrin repeat protein | ankyrin repeat protein | ankyrin repeat protein | uncharacterized protein | ankyrin repeat protein | ankyrin repeat protein | uncharacterized protein | ankyrin repeat protein
GVOGm0200	uncharacterized protein
GVOGm0876	no_annotation
GVOGm0121	uncharacterized protein
GVOGm0060	uncharacterized protein
GVOGm0465	uncharacterized protein
GVOGm1411	no_annotation
GVOGm1077	putative transposase
GVOGm0897	no_annotation
GVOGm0365	no_annotation
GVOGm0845	no_annotation
GVOGm0174	no_annotation
GVOGm0522	short chain dehydrogenase
GVOGm0026	HNH endonuclease | HNH endonuclease
GVOGm0150	no_annotation
GVOGm0414	2OG-Fe(II) oxygenase
GVOGm0350	GIY-YIG-like endonuclease
GVOGm0404	uncharacterized protein
GVOGm0332	no_annotation
GVOGm0100	Calcineurin-like phosphoesterase
GVOGm1266	no_annotation
GVOGm0680	superfamily II helicase
GVOGm0162	Patatin phospholipase | uncharacterized protein
GVOGm0226	no_annotation
GVOGm0474	Ugd, Predicted UDP-glucose 6-dehydrogenase
GVOGm0140	no_annotation
GVOGm0262	no_annotation
GVOGm0165	RING-finger-containing E3 ubiquitin ligase
GVOGm1182	no_annotation
GVOGm0309	uracil-DNA glycosylase
GVOGm0308	no_annotation
GVOG09725	uncharacterized protein
GVOGm0518	ornithine decarboxylase
GVOGm0560	putative methyltransferase
GVOGm0323	uncharacterized protein
GVOGm0914	no_annotation
GVOGm0112	no_annotation
GVOGm0359	no_annotation
GVOGm1609	no_annotation
GVOG10323	glutamine synthetase
GVOGm0122	no_annotation
GVOG08974	DNA topoisomerase I
GVOGm0186	uncharacterized protein
GVOGm0345	no_annotation
GVOGm0684	uncharacterized protein
GVOGm1236	uncharacterized protein
GVOG04418	no_annotation
GVOGm0366	no_annotation
GVOG06153	glycosyltransferase
GVOGm0853	no_annotation
GVOGm0822	no_annotation
GVOGm0412	uncharacterized protein
GVOGm0470	AP (apurinic) endonuclease family 2
GVOGm1234	no_annotation
GVOG09848	no_annotation
GVOGm0551	no_annotation
GVOGm0042	putative cysteine protease
GVOG09687	no_annotation
GVOGm0683	ribonuclease H
GVOGm0394	no_annotation
GVOGm1216	Glucosamine 6-phosphate N-acetyltransferase
GVOGm0739	no_annotation
GVOGm0229	no_annotation
GVOGm0896	uncharacterized protein
GVOG13618	SAM dependent methyltransferase | uncharacterized protein
GVOGm0145	no_annotation
GVOGm0733	DnaJ domain
GVOGm1134	HD phosphohydrolase
GVOGm0071	uncharacterized protein
GVOGm0463	no_annotation
GVOGm0289	2OG-Fe(II)oxygenase | AlkB, Alkylated DNA repair protein unique in NCLDV
GVOGm1084	no_annotation
GVOGm1227	no_annotation
GVOGm0399	no_annotation
GVOGm0895	polynucleotide kinase-3'-phosphatase
GVOGm0606	uncharacterized protein
GVOG09792	Metal dependent phosphohydrolase with conserved 'HD' motif
GVOGm0252	
GVOGm0271	no_annotation
GVOG08971	uncharacterized protein | uncharacterized protein
GVOGm0188	ctd-like phosphatase
GVOGm1288	no_annotation
GVOGm0536	Nudix hydrolase (D10 ortholog)
GVOGm0478	ankyrin repeat protein | ankyrin repeat protein | ankyrin repeat protein | uncharacterized protein | hypothetical protein, similar to ankyrin | ankyrin repeat protein | ankyrin repeat protein | ankyrin repeat protein | ankyrin repeat protein | ankyrin repeat protein
GVOGm1172	uncharacterized protein
GVOGm0237	no_annotation
GVOGm0339	glycosyltransferase
GVOGm0488	no_annotation
GVOGm0644	uncharacterized protein
GVOGm0317	exostosin
GVOGm0675	no_annotation
GVOGm1226	uncharacterized protein
GVOGm1014	F-box and Morn-repeat proteins | Fbox-containing protein | F-box and Morn-repeat proteins | MORN repeat proteins and some others
GVOGm1187	no_annotation
GVOGm0971	no_annotation
GVOGm0181	no_annotation
GVOGm1332	uncharacterized protein
GVOGm0467	restriction-fold endonuclease, D...H...D conserved.
GVOGm0062	restriction-fold endonuclease, D...H...D conserved. | uncharacterized protein
GVOGm0234	no_annotation
GVOGm0223	tRNA-Ile-lysidine synthetase
GVOGm0981	uncharacterized protein
GVOGm1369	no_annotation
GVOGm0999	Patatin phospholipase
GVOGm0705	no_annotation
GVOGm0222	no_annotation
GVOGm0568	no_annotation
GVOGm0406	no_annotation
GVOGm0597	no_annotation
GVOGm1123	uncharacterized protein
GVOGm0168	UDP-N-acetylglucosamine pyrophosphorylase
GVOGm0426	ankyrin repeat protein | ankyrin repeat protein | ankyrin repeat protein | ankyrin repeat protein | ankyrin repeat protein | ankyrin repeat protein | ankyrin repeat protein
GVOG10314	uncharacterized protein
GVOGm0516	no_annotation
GVOGm0557	no_annotation
GVOG08080	photolyase | putative photolyase
GVOGm0337	papain-like cysteine peptidase (Cathepsin B group)
GVOGm0694	divergent DNA-directed RNA polymerase subunit 5
GVOGm0854	no_annotation
GVOGm0781	GTP binding translation elongation factor
GVOGm0386	uncharacterized protein
GVOGm0469	uncharacterized protein
GVOGm1346	no_annotation
GVOGm0049	putative DNA N6-adenine methyltransferase
GVOGm0567	no_annotation
GVOGm0272	Pif1 helicase
GVOGm1579	uncharacterized protein
GVOGm0865	no_annotation
GVOG10546	no_annotation
GVOGm1426	disulfide (thiol) oxidoreductase, Erv1 / Alr family
GVOGm0541	no_annotation
GVOGm0603	RNA-helicase DExH-NPH-II
GVOGm0741	uncharacterized protein
GVOGm0278	no_annotation
GVOGm0578	DnaJ domain
GVOGm0358	no_annotation
GVOGm0749	no_annotation
GVOGm0133	uncharacterized protein
GVOG08086	UV-endonuclease UvdE
GVOGm0285	no_annotation
GVOGm0441	no_annotation
GVOG10322	uncharacterized protein
GVOG10810	no_annotation
GVOGm0136	no_annotation
GVOG02966	no_annotation
GVOGm0257	no_annotation
GVOGm1019	uncharacterized protein
GVOG06464	no_annotation
GVOGm0964	RuvC, Holliday junction resolvases (HJRs); Poxvirus A22 family
GVOGm0530	uncharacterized protein
GVOGm0055	protein phosphatase 2C
GVOGm0665	no_annotation
GVOGm1694	D5-like helicase-primase
GVOGm0247	no_annotation
GVOGm0649	no_annotation
GVOGm0457	no_annotation
GVOGm0009	no_annotation
GVOGm0535	uncharacterized protein
GVOGm0832	no_annotation
GVOGm0772	Serine/Threonine protein kinase | Serine/Threonine protein kinase | Serine/Threonine protein kinase | Serine/Threonine protein kinases | Serine/Threonine or Tyrosine protein kinase (tandem-duplicated in Mimi- and Marseilleviridae) | Serine/Threonine protein kinase
GVOGm0573	no_annotation
GVOGm0858	no_annotation
GVOGm0159	macrocin o-methyltransferase
GVOGm0179	no_annotation
GVOGm0156	no_annotation
GVOGm0092	no_annotation
GVOGm1353	no_annotation
GVOG04830	no_annotation
GVOGm0818	glycosyltransferase
GVOGm0811	uncharacterized protein
GVOGm0612	uncharacterized protein | uncharacterized protein
GVOGm1109	uncharacterized protein
GVOGm0514	uncharacterized protein
GVOGm0402	no_annotation
GVOGm0147	no_annotation
GVOG08287	no_annotation
GVOGm0776	uncharacterized protein
GVOGm1107	no_annotation
GVOGm0768	no_annotation
GVOGm1012	Translation initiation factor SUI1
GVOGm0769	no_annotation
GVOGm1061	no_annotation
GVOGm0216	no_annotation
GVOGm0057	Fatty acid elongase
GVOG09974	AN1-type zinc finger protein
GVOGm0697	YqaJ viral recombinase
GVOG08085	no_annotation
GVOGm1474	no_annotation
GVOGm0275	no_annotation
GVOGm0284	uncharacterized protein
GVOG00436	no_annotation
GVOGm0085	D5-like helicase-primase | DNA primase
GVOGm0135	no_annotation
GVOGm0620	putative apurinic-apyrimidinic endonuclease 1
GVOGm0333	replication factor C small subunit 2
GVOGm0868	mRNA capping enzyme large subunit, methyltransferase domain | mRNA capping enzyme N-terminal, ATPase and guanylyltransferase | mRNA capping enzyme
GVOGm0409	no_annotation
GVOGm1044	no_annotation
GVOG12346	no_annotation
GVOGm0293	poly(A) polymerase small subunit PAPS
GVOGm0072	DNA repair exonuclease
GVOGm0397	no_annotation
GVOGm0898	Esterase lipase superfamily
GVOGm0468	uncharacterized protein | uncharacterized protein
GVOGm0277	adenine specific DNA methyltransferase
GVOGm0553	protein phosphatase 2C
GVOGm0624	DNA-directed RNA polymerase II subunit RPB7
GVOG04974	uncharacterized protein
GVOGm0655	no_annotation
GVOGm0126	uncharacterized protein
GVOGm0750	F-box protein | F-box/LRR-repeat protein | uncharacterized protein
GVOGm0757	asparaginyl t-RNA synthetase
GVOGm0970	no_annotation
GVOGm0440	AAA family ATPase - unique in NCLDV; ATPase domain similar to repl_factorC_sub2 | uncharacterized protein
GVOGm0166	no_annotation
GVOGm0191	no_annotation
GVOGm0817	uncharacterized protein
GVOGm0212	Metal dependent phosphohydrolase with conserved 'HD' motif
GVOGm0899	no_annotation
GVOG08979	glycosyltransferase
GVOG05595	no_annotation
GVOGm1230	uncharacterized protein
GVOG01984	no_annotation
GVOGm0979	no_annotation
GVOGm0685	no_annotation
GVOGm1176	uncharacterized protein
GVOGm0951	adenine-specific DNA methyltransferase
GVOGm0542	no_annotation
GVOGm1610	U-box domain protein
GVOGm0217	no_annotation
GVOG12468	uncharacterized protein
GVOGm0629	uncharacterized protein
GVOGm0628	no_annotation
GVOG09765	no_annotation
GVOG10290	glycosyltransferase
GVOGm0119	no_annotation
GVOGm0416	no_annotation
GVOG12524	Zn-finger protein
GVOG06948	no_annotation
GVOGm0306	uncharacterized protein
GVOG10699	uncharacterized protein | uncharacterized protein | HNH endonuclease
GVOG08082	asparagine synthase
GVOGm1302	DNA or RNA helicases of superfamily II | DEAD/SNF2-like helicase | NTPase/helicase
GVOGm0075	no_annotation
GVOGm0653	adenine specific DNA methyltransferase
GVOG13689	no_annotation
GVOG04849	no_annotation
GVOGm1699	DNA repair exonuclease
GVOGm0300	Poxvirus early transcription factor (VETF), large subunit
GVOGm0545	no_annotation
GVOG12526	uncharacterized protein
GVOGm0892	trypsin-like serine protease
GVOGm0329	Serpin (serine protease inhibitor)
GVOGm1602	uncharacterized protein
GVOG08334	no_annotation
GVOG08328	no_annotation
GVOGm0893	Zn-finger protein
GVOGm0385	no_annotation
GVOG04828	no_annotation
GVOGm0473	uncharacterized protein
GVOGm0315	no_annotation
GVOGm1120	no_annotation
GVOGm0484	no_annotation
GVOGm1289	no_annotation
GVOGm0745	myristylated IMV envelope protein
GVOG02981	no_annotation
GVOGm0367	no_annotation
GVOGm0664	no_annotation
GVOG02997	no_annotation
GVOGm1339	no_annotation
GVOGm0807	uncharacterized protein
GVOGm1707	uncharacterized protein
GVOG00042	no_annotation
GVOGm0706	no_annotation
GVOGm1488	uncharacterized protein
GVOGm1592	fascin-like protein | uncharacterized protein
GVOGm0408	no_annotation
GVOGm0585	Thioredoxin
GVOGm0990	no_annotation
GVOGm0613	no_annotation
GVOGm0608	no_annotation
GVOGm0138	putative transposase
GVOG06465	Poxvirus P4B major core protein
GVOGm0826	no_annotation
GVOGm0334	uncharacterized protein
GVOG03020	no_annotation
GVOGm1457	uncharacterized protein
GVOGm0061	no_annotation
GVOG10816	no_annotation
GVOGm1721	no_annotation
GVOG04826	no_annotation
GVOGm0114	uncharacterized protein
GVOGm0096	no_annotation
GVOG00001	no_annotation
GVOG02971	no_annotation
GVOGm0241	no_annotation
GVOGm0456	no_annotation
GVOGm0169	no_annotation
GVOGm1310	no_annotation
GVOGm0790	no_annotation
GVOGm1675	no_annotation
GVOG06589	uncharacterized protein
GVOGm1436	no_annotation
GVOGm1200	uncharacterized, C-terminal domain conserved in irido, asco, phycodna, mimi
GVOGm1594	mRNA capping enzyme beta chain
GVOG09831	uncharacterized protein
GVOGm0639	DHH family phosphohydrolase
GVOGm0209	no_annotation
GVOGm1313	Hsp70 protein | heat shock protein 70
GVOGm0301	no_annotation
GVOGm0235	SAM dependent methyltransferase
GVOG02990	no_annotation
GVOGm0954	no_annotation
GVOG10300	uncharacterized protein
GVOGm0342	no_annotation
GVOGm1274	no_annotation
GVOGm1202	no_annotation
GVOGm0068	ankyrin repeat protein | ankyrin repeat protein | ankyrin repeat protein | ankyrin repeat protein | ankyrin repeat protein | ankyrin repeat protein | ankyrin repeat protein | ankyrin repeat protein | uncharacterized protein
GVOG05182	no_annotation
GVOG08995	DNA topoisomerase I
GVOG10793	no_annotation
GVOGm1038	no_annotation
GVOGm0256	uncharacterized protein | putative glycosyltransferase | glycosyltransferase
GVOGm0398	metallopeptidase WLM
GVOGm0476	no_annotation
GVOGm0695	DNA-dependent RNA polymerase subunit Rpb9
GVOG13430	Serine/Threonine protein kinase | uncharacterized protein | Serine/Threonine protein kinase | F10-like kinase | uncharacterized protein
GVOGm0198	no_annotation
GVOGm0458	no_annotation
GVOGm1576	uncharacterized protein
GVOGm0443	no_annotation
GVOGm1729	uncharacterized protein
GVOG05175	
GVOGm0391	no_annotation
GVOGm1434	uncharacterized protein
GVOG09879	no_annotation
GVOGm1268	no_annotation
GVOGm0621	uncharacterized protein
GVOGm0513	uncharacterized protein | uncharacterized protein
GVOGm0419	transposase | putative transposase
GVOGm0652	no_annotation
GVOGm0238	no_annotation
GVOGm1002	no_annotation
GVOGm1158	no_annotation
GVOG13666	short chain dehydrogenase
GVOGm1196	
GVOGm0496	uncharacterized protein
GVOGm0182	Ribonuclease III
GVOG11645	inactivated thioredoxin/glutaredoxin
GVOGm0369	no_annotation
GVOGm0292	uncharacterized protein
GVOGm0243	no_annotation
GVOG10394	no_annotation
GVOGm0615	no_annotation
GVOG09021	UDP-N-acetylglucosamine pyrophosphorylase
GVOGm0176	uncharacterized protein
GVOG04845	no_annotation
GVOGm0491	no_annotation
GVOG02967	no_annotation
GVOGm0328	Smc, Chromosome segregation ATPases
GVOGm1345	uncharacterized protein
GVOG10851	glycosyltransferase
GVOGm0956	uncharacterized protein
GVOG09788	uncharacterized protein
GVOGm1558	no_annotation
GVOGm1441	adenylosuccinate synthetase
GVOGm0813	uncharacterized protein
GVOGm1425	no_annotation
GVOGm0647	uncharacterized protein
GVOG06190	no_annotation
GVOGm1223	no_annotation
GVOGm1388	no_annotation
GVOGm1521	no_annotation
GVOGm0848	putative RNA methyltransferase
GVOGm0679	no_annotation
GVOGm1036	uncharacterized protein
GVOG01706	uncharacterized protein
GVOGm0076	early iridovirus protein
GVOGm0019	uncharacterized protein
GVOG08079	no_annotation
GVOG12750	metallopeptidase WLM
GVOG10794	no_annotation
GVOG07832	RNA-helicase DExH-NPH-II
GVOGm0035	no_annotation
GVOGm1201	uncharacterized protein
GVOGm0434	uncharacterized protein
GVOGm0605	no_annotation
GVOGm0045	Nucleoside Triphosphate Pyrophosphohydrolase
GVOGm1508	no_annotation
GVOGm1151	no_annotation
GVOGm0638	uncharacterized protein
GVOGm0307	no_annotation
GVOGm0509	mRNA capping enzyme large subunit, methyltransferase domain | mRNA capping enzyme N-terminal, ATPase and guanylyltransferase
GVOGm0674	ubiquitine ligase
GVOGm0207	no_annotation
GVOG02989	no_annotation
GVOG05056	no_annotation
GVOG04855	uncharacterized protein
GVOGm1046	uncharacterized protein
GVOGm1215	no_annotation
GVOGm1126	no_annotation
GVOGm0839	no_annotation
GVOG01801	no_annotation
GVOGm0380	Nudix hydrolase (D10 ortholog)
GVOGm0492	glycosyltransferase
GVOGm0340	no_annotation
GVOGm0580	uncharacterized protein
GVOGm1112	no_annotation
GVOGm0104	uncharacterized protein
GVOGm0910	no_annotation
GVOGm0144	uncharacterized protein
GVOGm0747	uncharacterized protein
GVOGm0703	uncharacterized protein
GVOG06760	no_annotation
GVOGm0869	type I cysteine dioxygenase
GVOGm0459	uncharacterized protein
GVOG09167	Cytidine and deoxycytidylate deaminase
GVOGm1008	uncharacterized protein
GVOGm1005	no_annotation
GVOG01962	uncharacterized protein
GVOGm0341	no_annotation
GVOG11266	uncharacterized protein
GVOGm1095	no_annotation
GVOGm0422	no_annotation
GVOGm1331	uncharacterized protein
GVOGm0508	no_annotation
GVOGm0736	ubiquitin-conjugating enzyme E2
GVOGm0927	no_annotation
GVOGm0718	
GVOG10800	GTP binding translation elongation factor
GVOG04891	uncharacterized protein
GVOGm0889	uncharacterized protein
GVOGm1733	no_annotation
GVOGm0622	2OG-Fe(II) oxygenase family protein | 2OG-Fe(II) oxygenase family protein | uncharacterized protein | uncharacterized protein
GVOG08789	uncharacterized protein
GVOGm1128	no_annotation
GVOGm0464	no_annotation
GVOGm1042	OTU-like cysteine protease
GVOGm0127	Superfamily II helicase related to herpesvirus replicative helicase
GVOG09304	no_annotation
GVOG04441	aminopeptidase
