Sample_ID	DRAM-ORF_count	DRAM-Annotated	DRAM-Hypothetical	DRAM-Unknown	InterProScan-ORF_count	InterProScan-Annotated	InterProScan-Hypothetical	InterProScan-Unknown	InterProScan_pro-ORF_count	InterProScan_pro-Annotated	InterProScan_pro-Hypothetical	InterProScan_pro-Unknown	Metacerberus-ORF_count	Metacerberus-Annotated	Metacerberus-Hypothetical	Metacerberus-Unknown	Metacerberus_fgs-ORF_count	Metacerberus_fgs-Annotated	Metacerberus_fgs-Hypothetical	Metacerberus_fgs-Unknown	PROKKA-ORF_count	PROKKA-Annotated	PROKKA-Hypothetical	PROKKA-Unknown
SAMN04313778	743.0	502.0	0.0	241.0	332.0	308.0	0.0	24.0	613.0	573.0	0.0	40.0	773.0	566.0	207.0	0.0	759.0	548.0	211.0	0.0	735.0	48.0	687.0	0.0
SAMN04314020	983.0	655.0	2.0	326.0	493.0	421.0	0.0	72.0	997.0	899.0	0.0	98.0	1423.0	910.0	513.0	0.0	1328.0	866.0	462.0	0.0	934.0	23.0	911.0	0.0
SAMN04314021	1125.0	733.0	1.0	391.0	249.0	214.0	0.0	35.0	998.0	898.0	0.0	100.0	1390.0	920.0	470.0	0.0	1382.0	891.0	491.0	0.0	1110.0	41.0	1069.0	0.0
SAMN04314229	593.0	376.0	1.0	216.0	203.0	180.0	0.0	23.0	506.0	444.0	0.0	62.0	666.0	454.0	212.0	0.0	674.0	442.0	232.0	0.0	592.0	50.0	542.0	0.0
SAMN04314518	1229.0	763.0	1.0	465.0	388.0	360.0	0.0	28.0	954.0	877.0	1.0	76.0	1283.0	864.0	419.0	0.0	1266.0	822.0	444.0	0.0	1215.0	44.0	1171.0	0.0
SAMN04314787	1124.0	652.0	1.0	471.0	115.0	104.0	0.0	11.0	837.0	768.0	1.0	68.0	1114.0	755.0	359.0	0.0					1106.0	49.0	1057.0	0.0
SAMN04314987	892.0	599.0	0.0	293.0	169.0	157.0	0.0	12.0	726.0	660.0	1.0	65.0	923.0	652.0	271.0	0.0					909.0	50.0	859.0	0.0
SAMN04315029	1051.0	647.0	3.0	401.0	215.0	195.0	0.0	20.0	813.0	739.0	1.0	73.0	1054.0	734.0	320.0	0.0	1030.0	675.0	355.0	0.0	1063.0	48.0	1015.0	0.0
SAMN04315077	909.0	554.0	0.0	355.0	292.0	262.0	0.0	30.0	713.0	627.0	1.0	85.0	949.0	633.0	316.0	0.0					914.0	37.0	877.0	0.0
SAMN04315147	754.0	502.0	1.0	251.0	129.0	108.0	0.0	21.0	634.0	585.0	0.0	49.0	794.0	555.0	239.0	0.0					766.0	54.0	712.0	0.0
SAMN04315152	557.0	406.0	1.0	150.0	151.0	139.0	0.0	12.0	501.0	454.0	0.0	47.0	594.0	456.0	138.0	0.0	598.0	446.0	152.0	0.0	580.0	47.0	533.0	0.0
SAMN04315169	743.0	507.0	0.0	236.0	106.0	91.0	0.0	15.0	621.0	557.0	0.0	64.0	781.0	555.0	226.0	0.0					789.0	53.0	736.0	0.0
SAMN04315172	921.0	599.0	2.0	320.0	215.0	201.0	0.0	14.0	743.0	676.0	2.0	65.0	970.0	660.0	310.0	0.0	972.0	633.0	339.0	0.0	951.0	49.0	902.0	0.0
SAMN04315271	796.0	509.0	1.0	286.0	205.0	176.0	0.0	29.0	650.0	589.0	0.0	61.0	842.0	591.0	251.0	0.0	838.0	555.0	283.0	0.0	770.0	51.0	719.0	0.0
SAMN04315272	772.0	533.0	0.0	239.0	126.0	112.0	1.0	13.0	638.0	574.0	1.0	63.0	789.0	575.0	214.0	0.0	787.0	550.0	237.0	0.0	774.0	46.0	728.0	0.0
SAMN04315345	791.0	487.0	0.0	304.0	155.0	143.0	1.0	11.0	620.0	563.0	3.0	54.0	827.0	555.0	272.0	0.0	844.0	546.0	298.0	0.0	805.0	40.0	765.0	0.0
SAMN04315426	967.0	596.0	0.0	371.0	294.0	266.0	0.0	28.0	741.0	659.0	2.0	80.0	1031.0	657.0	374.0	0.0	1027.0	646.0	381.0	0.0	962.0	42.0	920.0	0.0
SAMN04315570	1080.0	646.0	1.0	433.0	354.0	313.0	1.0	40.0	830.0	740.0	3.0	87.0	1138.0	725.0	413.0	0.0	1115.0	682.0	433.0	0.0	1032.0	52.0	980.0	0.0
SAMN04315616	513.0	347.0	1.0	165.0	236.0	213.0	1.0	22.0	424.0	382.0	1.0	41.0	545.0	394.0	151.0	0.0					509.0	35.0	474.0	0.0
SAMN04315892	886.0	593.0	0.0	293.0	224.0	206.0	0.0	18.0	735.0	666.0	0.0	69.0	926.0	658.0	268.0	0.0	905.0	628.0	277.0	0.0	907.0	48.0	859.0	0.0
SAMN04316144	668.0	445.0	0.0	223.0	250.0	227.0	0.0	23.0	538.0	489.0	1.0	48.0	687.0	493.0	194.0	0.0	695.0	480.0	215.0	0.0	656.0	34.0	622.0	0.0
SAMN04316165	400.0	304.0	0.0	96.0	247.0	206.0	0.0	41.0	480.0	431.0	0.0	49.0	597.0	449.0	148.0	0.0	561.0	427.0	134.0	0.0	372.0	25.0	347.0	0.0
SAMN04316240	637.0	417.0	1.0	219.0	7.0	7.0	0.0	0.0	525.0	474.0	0.0	51.0	677.0	451.0	226.0	0.0	732.0	441.0	291.0	0.0	694.0	51.0	643.0	0.0
SAMN04328180	438.0	327.0	1.0	110.0	281.0	267.0	0.0	14.0	373.0	357.0	0.0	16.0	442.0	350.0	92.0	0.0	425.0	335.0	90.0	0.0	415.0	39.0	376.0	0.0
SAMN04328181	712.0	496.0	0.0	216.0	362.0	334.0	0.0	28.0	592.0	545.0	0.0	47.0	721.0	539.0	182.0	0.0	723.0	530.0	193.0	0.0	694.0	42.0	652.0	0.0
SAMN04328184	891.0	596.0	0.0	295.0	447.0	413.0	0.0	34.0	707.0	650.0	0.0	57.0	886.0	651.0	235.0	0.0					784.0	32.0	752.0	0.0
SAMN04328186	467.0	337.0	0.0	130.0	276.0	241.0	0.0	35.0	400.0	366.0	0.0	34.0	480.0	365.0	115.0	0.0	487.0	352.0	135.0	0.0	440.0	30.0	410.0	0.0
SAMN04328187	604.0	450.0	1.0	153.0	305.0	275.0	0.0	30.0	550.0	505.0	0.0	45.0	621.0	510.0	111.0	0.0	610.0	489.0	121.0	0.0	587.0	42.0	545.0	0.0
SAMN04328188	620.0	435.0	1.0	184.0	282.0	257.0	0.0	25.0	529.0	481.0	0.0	48.0	666.0	462.0	204.0	0.0	690.0	454.0	236.0	0.0	640.0	43.0	597.0	0.0
SAMN04328189	697.0	442.0	1.0	254.0	341.0	310.0	0.0	31.0	561.0	500.0	0.0	61.0	723.0	495.0	228.0	0.0	738.0	485.0	253.0	0.0	675.0	36.0	639.0	0.0
SAMN04328190	719.0	487.0	1.0	231.0	419.0	373.0	0.0	46.0	607.0	549.0	0.0	58.0	735.0	547.0	188.0	0.0	756.0	533.0	223.0	0.0	687.0	31.0	656.0	0.0
SAMN04328192	837.0	560.0	1.0	276.0	469.0	429.0	1.0	39.0	675.0	621.0	2.0	52.0	899.0	616.0	283.0	0.0					826.0	33.0	793.0	0.0
SAMN04328195	415.0	319.0	0.0	96.0	248.0	226.0	0.0	22.0	376.0	344.0	0.0	32.0	454.0	343.0	111.0	0.0	458.0	330.0	128.0	0.0	411.0	28.0	383.0	0.0
SAMN04328196	611.0	408.0	1.0	202.0	368.0	321.0	0.0	47.0	511.0	445.0	0.0	66.0	630.0	429.0	201.0	0.0	666.0	426.0	240.0	0.0	579.0	32.0	547.0	0.0
SAMN04328198	721.0	424.0	1.0	296.0	418.0	355.0	0.0	63.0	553.0	499.0	0.0	54.0	752.0	473.0	279.0	0.0	745.0	456.0	289.0	0.0	676.0	36.0	640.0	0.0
SAMN04328199	512.0	364.0	1.0	147.0	228.0	211.0	0.0	17.0	436.0	402.0	0.0	34.0	534.0	402.0	132.0	0.0	595.0	402.0	193.0	0.0	518.0	43.0	475.0	0.0
SAMN04328270	609.0	409.0	0.0	200.0	274.0	240.0	1.0	33.0	499.0	442.0	1.0	56.0	642.0	427.0	215.0	0.0	677.0	421.0	256.0	0.0	598.0	42.0	556.0	0.0
SAMN04328297	763.0	476.0	1.0	286.0	278.0	254.0	0.0	24.0	614.0	536.0	4.0	74.0	770.0	519.0	251.0	0.0					718.0	41.0	677.0	0.0
