Sample_ID	DRAM	Metacerberus
997	80.0	3848.0
998	76.0	3860.0
999	68.0	3848.0
1000	116.0	3928.0
1001	84.0	3864.0
1002	336.0	140.0
1003	92.0	3848.0
1004	96.0	3848.0
1005	212.0	92.0
1006	144.0	68.0
1007	248.0	108.0
1008	260.0	4160.0
1009	236.0	4052.0
1010	144.0	4104.0
1011	112.0	3848.0
1012	104.0	3864.0
1013	112.0	3868.0
1014	112.0	3868.0
1015	100.0	3864.0
1016	100.0	3848.0
1017	420.0	160.0
1018	100.0	3868.0
1019	88.0	3864.0
1020	84.0	3848.0
1021	68.0	3848.0
1022	68.0	3860.0
1023	300.0	68.0
1024	68.0	3848.0
1025	232.0	56.0
1026	312.0	4172.0
1027	92.0	3864.0
1028	96.0	3848.0
1029	100.0	3864.0
1030	328.0	4176.0
1031	224.0	4060.0
1032	156.0	72.0
1033	160.0	76.0
1034	96.0	3864.0
1035	116.0	3848.0
1036	128.0	64.0
1037	116.0	3868.0
1038	128.0	3868.0
1039	220.0	4044.0
1040	252.0	4108.0
1041	92.0	3864.0
1042	300.0	120.0
1043	300.0	4096.0
1044	108.0	3848.0
1045	104.0	3848.0
1046	68.0	3860.0
1047	212.0	4044.0
1048	196.0	4084.0
1049	84.0	3864.0
1050	124.0	3868.0
1051	132.0	3868.0
1052	100.0	3864.0
1053	84.0	3864.0
1054	72.0	3864.0
1055	72.0	3848.0
1056	564.0	208.0
1057	300.0	116.0
1058	260.0	112.0
1059	180.0	4124.0
1060	108.0	3868.0
1061	104.0	3868.0
1062	96.0	3864.0
1063	188.0	4088.0
1064	188.0	4088.0
1065	136.0	36.0
1066	168.0	48.0
1067	164.0	4120.0
1068	104.0	3864.0
1069	236.0	4072.0
1070	148.0	4112.0
1071	132.0	64.0
1072	68.0	3860.0
1073	68.0	3860.0
1074	292.0	4152.0
1075	368.0	4192.0
1076	176.0	44.0
1077	124.0	3868.0
1078	116.0	3868.0
1079	68.0	3848.0
1080	244.0	104.0
1081	240.0	64.0
1082	248.0	4060.0
1083	224.0	4048.0
1084	112.0	3868.0
1085	112.0	3868.0
1086	408.0	164.0
1087	72.0	3848.0
1088	80.0	3860.0
1089	116.0	3868.0
1090	336.0	4196.0
1091	380.0	4224.0
1092	216.0	4036.0
1093	204.0	4100.0
1094	100.0	3864.0
1095	232.0	56.0
1096	136.0	60.0
1097	96.0	3864.0
1098	100.0	3848.0
1099	104.0	3848.0
1100	176.0	76.0
1101	92.0	3864.0
1102	88.0	3864.0
1103	76.0	3864.0
1104	300.0	60.0
1105	132.0	64.0
1106	152.0	72.0
1107	144.0	4068.0
1108	120.0	3868.0
1109	288.0	4160.0
1110	268.0	112.0
1111	200.0	4096.0
1112	100.0	3848.0
1113	88.0	3864.0
1114	88.0	3864.0
1115	116.0	3848.0
1116	72.0	3848.0
1117	224.0	56.0
1118	84.0	3860.0
1119	232.0	52.0
1120	224.0	4048.0
1121	216.0	4048.0
1122	148.0	68.0
1123	124.0	3968.0
1124	128.0	4056.0
1125	112.0	3868.0
1126	168.0	4068.0
1127	176.0	48.0
1128	120.0	3868.0
1129	100.0	3864.0
1130	96.0	3848.0
1131	64.0	3848.0
1132	260.0	4108.0
1133	260.0	108.0
1134	244.0	64.0
1135	136.0	68.0
1136	152.0	4068.0
1137	76.0	3860.0
1138	140.0	64.0
1139	88.0	3864.0
1140	88.0	3864.0
1141	96.0	3864.0
1142	116.0	4064.0
1143	220.0	4044.0
1144	96.0	3864.0
1145	96.0	3864.0
1146	252.0	56.0
1147	388.0	156.0
1148	364.0	4212.0
1149	400.0	4128.0
1150	276.0	60.0
1151	256.0	108.0
1152	100.0	3868.0
1153	84.0	3864.0
1154	72.0	3848.0
1155	168.0	4084.0
1156	444.0	168.0
1157	100.0	3848.0
1158	140.0	4032.0
1159	148.0	68.0
1160	152.0	3980.0
1161	288.0	124.0
1162	100.0	3848.0
1163	100.0	3864.0
1164	92.0	3864.0
1165	384.0	160.0
1166	372.0	152.0
1167	96.0	3864.0
1168	88.0	3848.0
1169	84.0	3848.0
1170	68.0	3860.0
1171	160.0	4132.0
1172	144.0	4088.0
1173	112.0	3848.0
1174	100.0	3848.0
1175	88.0	3864.0
1176	176.0	4064.0
1177	88.0	3864.0
1178	96.0	3864.0
1179	100.0	3848.0
1180	88.0	3848.0
1181	224.0	96.0
1182	156.0	72.0
1183	148.0	4104.0
1184	112.0	3848.0
1185	112.0	3848.0
1186	112.0	3848.0
1187	68.0	3860.0
1188	100.0	3864.0
1189	104.0	3868.0
1190	224.0	56.0
1191	200.0	80.0
1192	160.0	4052.0
1193	136.0	4052.0
1194	100.0	3864.0
1195	96.0	3864.0
1196	88.0	3864.0
1197	76.0	3848.0
1198	164.0	4024.0
1199	152.0	4160.0
1200	68.0	3848.0
1201	288.0	120.0
1202	144.0	44.0
1203	124.0	3968.0
1204	104.0	3848.0
1205	88.0	3848.0
1206	84.0	3848.0
