Sample_ID	DRAM	Metacerberus
838	18.1121	0.258224
839	18.119884	0.256812
840	18.078976	0.260552
841	18.175084	0.217264
842	18.171976	0.216548
843	18.128588	0.256488
844	18.158604	0.258064
845	18.178588	0.215736
846	18.117984	0.214496
847	18.137976	0.260964
848	18.147216	0.214828
849	18.16782	0.219028
850	18.119424	0.263116
851	18.116652	0.256652
852	18.043264	0.261036
853	18.06474	0.260804
854	18.082616	0.251464
855	18.119968	0.259488
856	18.080516	0.259088
857	18.151628	0.216736
858	18.092584	0.26094
859	18.037412	0.256564
860	18.103656	0.26156
861	18.045064	0.260568
862	18.063248	0.258588
863	18.149328	0.2641
864	18.16008	0.263904
865	18.168928	0.260432
866	18.169056	0.259432
867	18.158812	0.21816
868	18.156212	0.215744
869	18.173024	0.223072
870	18.161408	0.26118
871	18.171236	0.218276
872	18.147696	0.219748
873	18.130888	0.259676
874	18.136024	0.258488
875	18.15826	0.218464
876	18.067384	0.257924
877	18.073964	0.254428
878	18.117392	0.257132
879	18.063188	0.250904
880	18.086616	0.25454
881	18.111148	0.258532
882	18.104792	0.258768
883	18.113664	0.256908
884	18.06654	0.2561
885	18.1222	0.260484
886	18.146836	0.26262
887	18.146976	0.25982
888	18.120272	0.21696
889	18.136848	0.257948
890	18.064588	0.258904
891	18.112364	0.256728
892	18.146824	0.216196
893	18.153776	0.260656
894	18.145208	0.261632
895	18.112508	0.214856
896	18.155616	0.217728
897	18.139608	0.21726
898	18.108328	0.25958
899	18.195984	0.260988
900	18.153164	0.219532
901	18.048004	0.26064
902	18.142812	0.223272
903	18.153832	0.218372
904	18.170804	0.2591
905	18.154752	0.257264
906	18.048192	0.260416
907	18.152196	0.261244
908	18.134324	0.258316
909	18.155568	0.259064
910	18.151748	0.217512
911	18.10536	0.254716
912	18.067476	0.256012
913	18.141284	0.220752
914	18.137788	0.21722
915	18.139688	0.217596
916	18.140924	0.26452
917	18.09534	0.255656
918	18.09884	0.255888
919	18.140884	0.220336
920	18.081148	0.259644
921	18.093232	0.258832
922	18.101252	0.259056
923	18.085972	0.258456
924	18.096876	0.25906
925	18.076484	0.261064
926	18.21744	0.197696
927	18.079352	0.262944
928	18.11026	0.255912
929	18.077504	0.260172
930	18.168392	0.21952
931	18.052936	0.259368
932	18.152268	0.259516
933	18.156432	0.25866
934	18.173424	0.259816
935	18.10364	0.26012
936	18.145456	0.25808
937	18.075748	0.25934
938	18.00214	0.255472
939	18.145956	0.218556
940	18.119912	0.259272
941	18.109452	0.257768
942	18.037716	0.260116
943	18.121584	0.259124
944	18.124876	0.259248
945	18.157068	0.259124
946	18.144884	0.26148
947	18.172668	0.261968
948	18.175544	0.257184
949	18.145472	0.218984
950	18.166508	0.220632
951	18.1448	0.219216
952	18.188232	0.21694
953	18.159024	0.216528
954	18.118312	0.253484
955	18.15472	0.218968
956	18.245176	0.258324
957	18.077872	0.25758
958	18.12752	0.261684
959	18.157808	0.261224
960	18.19634	0.26224
961	18.141112	0.260184
962	18.179696	0.257228
963	18.14154	0.255912
964	18.10818	0.25686
965	18.132492	0.256044
966	18.114172	0.25144
967	18.12048	0.259524
968	18.105488	0.256324
969	18.098508	0.261828
970	18.100008	0.258936
971	18.055584	0.255512
972	18.077636	0.258816
973	18.134596	0.25432
974	18.114028	0.251544
975	18.157796	0.221212
976	18.149416	0.218928
977	18.191932	0.260092
978	18.1676	0.251648
979	18.1687	0.216952
980	18.087004	0.256836
981	18.146712	0.221584
982	18.16728	0.254608
