ID	GIC31_complete	JQGI01_HUD	RW2_complete	S17	SH31	gsA_SM152B	gsB_3841	gsC_SM41	gsD_SM51	gsE_BIHB1217
K00383	1	1	1	1	1	1	1	1	1	1
K00384	1	1	1	1	1	1	1	1	1	1
K00387	0	0	0	0	0	0	0	1	0	1
K00389	0	1	1	1	1	1	0	0	0	0
K00390	0	0	0	0	0	1	1	1	1	1
K00404	0	0	0	0	0	1	1	1	1	1
K00405	0	0	0	0	0	1	1	1	1	1
K00406	0	0	0	0	0	1	1	1	1	1
K00407	0	0	0	0	0	1	1	1	1	1
K00410	0	0	0	0	0	1	1	1	1	1
K00411	0	0	0	0	0	1	1	1	1	1
K00413	0	0	0	0	0	1	1	1	1	1
K00425	1	1	1	1	1	1	1	1	1	1
K00426	1	1	1	1	1	1	1	1	1	1
K00428	0	0	0	0	0	1	1	1	1	1
K00432	1	1	1	1	1	1	1	1	1	1
K00433	1	1	1	1	1	1	1	1	1	1
K00435	1	1	1	1	1	0	0	0	0	0
K00446	0	0	0	0	0	1	1	1	1	1
K00448	0	0	0	0	0	1	1	1	1	1
K00449	0	0	0	0	0	1	1	1	1	1
K00450	0	1	0	0	0	0	0	0	0	0
K00451	0	0	0	0	0	1	1	1	1	1
K00453	1	1	1	1	1	0	0	0	0	0
K00457	0	0	0	0	0	1	1	1	1	1
K00459	0	0	0	0	0	1	1	1	1	1
K00477	0	0	0	0	0	1	1	1	1	1
K00479	0	0	0	0	0	1	1	1	1	1
K00481	0	0	0	0	0	1	1	1	1	1
K00491	1	1	1	1	1	0	0	0	0	0
K00500	1	1	1	1	1	1	1	1	1	1
K00508	0	1	0	0	0	0	0	0	0	0
K00520	1	1	1	1	1	0	0	0	0	0
K00525	1	1	1	1	1	1	1	1	1	1
K00526	1	1	1	1	1	1	1	1	1	1
K00529	0	0	0	1	1	1	1	1	1	1
K00537	1	1	1	1	1	1	1	1	1	1
K00540	0	0	0	0	1	0	0	0	0	0
K00545	0	0	0	0	0	1	1	1	1	1
K00547	0	0	0	0	0	1	1	1	1	1
K00548	0	1	0	0	0	1	1	1	1	1
K00554	1	1	1	1	1	1	1	1	1	1
K00556	1	1	1	1	1	0	0	0	0	0
K00558	0	1	0	1	1	1	1	1	1	1
K00560	1	1	1	1	1	1	1	1	1	1
K00564	1	1	1	1	1	1	1	1	1	1
K00566	1	1	1	1	1	1	1	1	1	1
K00567	1	1	1	1	1	1	1	1	1	1
K00568	0	1	0	0	1	1	1	1	1	1
K00570	0	0	0	0	0	1	1	1	1	1
K00571	0	0	0	0	0	1	0	0	0	0
K00573	0	1	0	0	0	1	1	1	1	1
K00574	0	0	0	0	0	1	1	1	1	1
K00575	1	1	1	1	1	1	1	1	1	1
K00577	1	0	0	0	0	0	0	0	0	0
K00587	0	0	0	0	0	1	1	1	1	1
K00588	1	1	1	1	1	1	1	1	1	1
K00595	0	0	0	0	0	1	1	1	1	1
K00598	0	0	0	0	0	1	1	1	1	1
K00600	1	1	1	1	1	1	1	1	1	1
K00602	1	1	1	1	1	1	1	1	1	1
K00604	1	1	1	1	1	1	1	1	1	1
K00605	1	1	1	1	1	1	1	1	1	1
K00606	1	1	1	1	1	1	1	1	1	1
K00609	1	1	1	1	1	1	1	1	1	1
K00611	1	1	1	1	1	1	1	1	1	1
K00615	1	1	1	0	1	1	1	1	1	1
K00616	0	0	0	0	0	1	1	1	1	1
K00619	0	0	0	0	1	1	1	1	1	1
K00620	1	1	1	0	0	1	1	1	1	1
K00625	0	0	0	0	0	0	0	0	0	1
K00626	0	0	0	0	0	1	1	1	1	1
K00627	1	1	1	1	1	1	1	1	1	1
K00632	1	1	1	1	1	1	1	1	1	1
K00633	0	0	0	0	0	1	1	1	1	1
K00634	1	1	1	1	1	0	0	0	0	0
K00639	1	1	1	1	1	1	1	1	1	1
K00640	1	1	1	1	1	1	1	1	1	1
K00641	0	0	0	0	0	0	1	1	0	1
K00643	0	0	0	0	0	1	1	1	1	1
K00645	1	1	1	1	1	1	1	1	1	1
K00647	0	0	0	0	0	0	0	0	1	0
K00648	1	1	1	1	1	1	1	1	1	1
K00651	0	1	0	0	0	1	1	1	1	1
K00652	0	0	0	0	0	1	0	0	1	1
K00655	1	1	1	1	1	1	1	1	1	1
K00656	1	1	1	1	1	0	0	0	0	0
K00657	0	0	0	0	0	1	1	1	1	1
K00658	1	1	1	1	1	1	1	1	1	1
K00659	0	0	0	1	0	0	0	0	0	0
K00661	1	1	1	1	1	1	1	1	1	1
K00662	1	1	1	1	1	0	1	0	0	0
K00663	0	0	0	0	0	1	1	1	0	0
K00666	1	1	1	1	1	1	1	1	1	1
K00677	0	0	0	0	0	1	1	1	1	1
K00678	0	0	1	0	0	0	0	0	0	0
K00681	0	1	0	0	0	1	1	1	1	1
K00684	0	0	0	0	0	1	1	1	1	1
K00688	1	1	1	1	1	1	1	1	1	1
K00689	0	0	0	1	1	0	0	0	0	0
K00691	1	1	1	1	1	0	0	0	0	0
K00694	0	0	0	0	0	1	1	1	1	1
K00697	0	0	0	0	0	1	1	1	1	1
K00700	0	0	0	0	0	1	1	1	1	1
K00703	1	1	1	1	1	1	1	1	1	1
K00705	0	0	0	0	0	1	1	1	1	1
K00721	0	0	0	0	0	1	1	1	1	1
K00748	0	0	0	0	0	1	1	1	1	1
K00750	0	0	0	0	0	1	1	1	1	1
K00752	0	0	0	0	1	0	0	0	0	0
K00754	1	1	1	1	1	0	0	0	0	0
K00756	1	1	1	1	1	0	0	0	0	0
K00758	0	1	0	0	0	1	1	1	1	1
K00759	1	1	1	1	1	1	1	1	1	1
K00760	0	0	0	0	0	1	1	1	1	1
K00761	1	1	1	1	1	1	1	1	1	1
K00762	1	1	1	1	1	1	1	1	1	1
K00763	1	1	1	1	1	1	1	1	1	1
K00764	1	1	1	1	1	1	1	1	1	1
K00765	1	1	1	1	1	1	1	1	1	1
K00766	1	1	1	1	1	1	1	1	1	1
K00767	1	1	1	1	1	1	1	1	1	1
K00768	0	0	0	0	0	1	1	1	1	1
K00769	0	0	0	0	0	1	1	1	1	1
K00773	1	1	1	1	1	1	1	1	1	1
K00782	1	1	1	1	1	0	0	0	0	0
K00783	1	1	1	1	1	1	1	1	1	1
K00784	1	1	1	1	1	0	0	0	0	0
K00788	1	1	1	1	1	1	1	1	1	1
K00789	1	1	1	1	1	1	1	1	1	1
K00790	1	1	1	1	1	1	1	1	1	1
K00791	1	1	1	1	1	0	0	1	0	0
K00793	1	1	1	1	1	1	1	1	1	1
K00794	1	1	1	1	1	1	1	1	1	1
K00795	1	1	1	1	1	1	1	1	1	1
K00796	1	1	1	1	1	1	1	1	1	1
K00797	0	1	0	1	1	1	1	1	1	1
K00798	1	1	1	1	1	1	1	1	1	1
K00799	0	1	0	0	0	1	1	1	1	1
K00800	1	1	1	1	1	1	1	1	1	1
K00805	1	1	1	1	1	0	0	0	0	0
K00806	1	1	1	1	1	1	1	1	1	1
K00808	0	0	0	0	0	1	1	1	1	1
K00812	1	1	1	0	0	1	1	1	1	1
K00813	0	0	0	0	0	1	1	1	0	1
K00817	1	1	1	1	1	1	1	1	1	1
K00819	1	1	1	1	1	1	1	1	1	1
K00820	1	1	1	1	1	1	1	1	1	1
K00821	1	1	1	0	0	1	1	1	1	1
K00822	0	0	0	0	0	1	1	1	1	1
K00824	0	0	0	0	0	1	1	1	1	1
K00826	1	1	1	1	1	1	1	1	1	1
K00830	0	0	0	0	0	0	0	0	0	1
K00831	1	1	1	1	1	1	1	1	1	1
K00832	0	0	0	0	0	0	0	1	1	0
K00845	0	0	0	0	0	1	1	1	1	1
K00847	1	1	1	1	1	1	1	1	1	1
K00849	0	1	1	1	1	0	0	0	0	0
K00850	1	1	1	1	1	0	0	0	0	0
K00851	0	0	0	0	0	1	1	1	1	1
K00852	1	1	1	0	0	1	1	1	1	1
K00853	0	0	1	0	1	0	0	0	0	0
K00854	0	0	0	0	0	1	1	1	1	1
K00857	1	1	1	1	1	1	1	1	1	1
K00858	1	1	1	1	1	1	1	1	1	1
K00859	1	1	1	1	1	1	1	1	1	1
K00862	0	0	0	0	0	1	1	1	1	1
K00863	0	0	0	0	0	1	1	1	1	1
K00864	1	1	1	1	1	1	1	1	1	1
K00865	1	1	1	1	1	0	0	0	0	0
K00867	0	0	0	0	0	1	1	1	1	1
K00868	0	0	0	0	0	1	1	1	1	1
K00873	1	1	1	1	1	1	1	1	1	1
K00874	0	0	0	0	0	1	1	1	1	1
K00875	0	0	0	0	0	1	1	1	1	1
K00876	1	1	1	1	1	0	0	1	0	0
K00878	1	1	1	1	1	1	1	1	1	1
K00879	0	0	0	0	0	1	1	1	1	1
K00880	0	1	0	0	0	1	1	1	1	1
K00882	1	1	1	1	1	0	0	0	0	0
K00883	0	0	0	0	0	1	1	1	1	1
K00887	1	1	1	1	1	1	1	1	1	1
K00891	1	1	1	1	1	0	0	0	0	0
K00892	0	1	0	0	0	0	0	0	0	0
K00894	0	0	0	0	0	0	1	0	0	0
K00895	0	0	0	0	0	1	1	1	1	1
K00899	1	1	1	1	1	0	0	0	0	0
K00903	1	1	1	1	1	0	0	0	0	0
K00912	0	0	0	0	0	1	1	1	1	1
K00919	1	1	1	1	1	1	1	1	1	1
K00925	1	1	1	1	1	1	1	1	1	1
K00926	1	1	1	1	1	0	0	0	0	1
K00927	1	1	1	1	1	1	1	1	1	1
K00928	1	1	1	1	1	1	1	1	1	1
K00929	1	1	1	1	1	0	0	0	0	0
K00930	1	1	1	0	0	1	1	1	1	1
K00931	0	1	0	0	0	1	1	1	1	1
K00936	0	0	0	0	0	1	1	1	1	1
K00937	1	1	1	1	1	1	1	1	1	1
K00939	1	1	1	1	1	1	1	1	1	1
K00940	1	1	1	1	1	1	1	1	1	1
K00941	1	1	1	1	1	1	1	1	1	1
K00942	1	1	1	1	1	1	1	1	1	1
K00943	1	1	1	1	1	1	1	1	1	1
K00945	0	0	0	0	0	1	1	1	1	1
K00948	1	1	1	1	1	1	1	1	1	1
K00949	1	1	1	1	1	1	1	1	1	1
K00950	1	1	1	1	1	1	1	1	1	1
K00954	1	1	1	1	1	1	1	1	1	1
K00956	0	0	0	0	0	1	1	1	1	1
K00957	0	0	0	0	0	1	1	1	1	1
K00962	1	1	1	1	1	1	1	1	1	1
K00963	0	1	0	0	0	0	0	0	0	0
K00969	1	1	1	1	1	1	1	1	1	1
K00970	0	0	0	0	0	1	1	1	1	1
K00971	0	0	0	0	0	1	1	1	1	1
K00973	0	1	1	1	1	1	1	1	1	1
K00974	1	1	1	1	1	0	0	0	0	0
K00975	1	1	1	1	1	1	1	1	1	1
K00978	0	0	0	0	0	0	1	1	0	0
K00979	0	0	0	0	0	1	1	1	1	1
K00981	1	1	1	1	1	1	1	1	1	1
K00982	0	1	0	0	0	1	1	1	1	1
K00984	1	0	1	1	0	0	0	0	0	0
K00986	0	1	1	0	0	1	0	1	0	1
K00989	1	1	1	1	1	1	1	1	1	1
K00990	0	0	0	0	0	1	1	1	1	1
K00991	1	1	1	1	1	0	0	0	0	0
K00992	0	0	0	0	0	1	1	1	1	1
K00997	1	1	1	1	1	1	1	1	1	1
K00998	0	1	0	0	0	0	0	0	0	0
K01000	1	1	1	1	1	1	1	1	1	1
K01004	0	0	0	0	0	1	1	1	1	1
K01005	1	1	1	1	1	0	0	0	0	0
K01006	0	0	0	0	0	1	1	1	1	1
K01007	0	1	0	0	0	0	0	0	0	0
K01011	1	1	1	1	1	1	1	1	1	1
K01013	1	1	0	0	0	0	0	0	0	0
K01026	0	1	0	0	0	1	1	1	1	1
K01031	0	0	0	0	0	1	1	1	1	1
K01032	0	0	0	0	0	1	1	1	1	1
K01040	0	0	0	0	0	0	0	1	1	0
K01046	1	1	1	1	1	1	1	1	1	1
K01048	0	1	0	0	0	1	1	1	1	1
K01053	0	0	0	0	0	1	1	1	1	1
K01054	1	1	1	1	1	1	1	1	1	1
K01055	1	1	1	1	1	1	1	1	1	1
K01056	1	1	1	1	1	1	1	1	1	1
K01057	0	0	0	0	0	1	1	1	1	1
K01060	1	0	1	0	0	1	1	1	1	1
K01061	0	0	0	0	0	1	1	1	1	1
K01066	1	1	1	1	1	1	1	1	1	1
K01069	1	1	1	1	1	1	1	1	1	1
K01070	0	0	0	0	0	1	1	1	1	1
K01075	0	0	0	0	0	1	0	1	1	1
K01077	0	0	0	0	0	1	1	1	1	1
K01079	0	1	0	0	0	1	1	1	1	1
K01082	0	0	0	0	0	1	1	1	1	1
K01083	0	0	0	1	0	0	0	0	0	0
K01087	0	0	0	0	0	1	1	1	1	1
K01089	0	1	0	0	0	0	0	0	0	0
K01091	1	1	1	1	1	1	1	1	1	1
K01092	1	1	1	1	1	1	1	1	1	1
K01104	0	0	0	1	0	0	0	0	0	0
