Sample_ID	DRAM	InterProScan	Metacerberus	PROKKA
41	8.509	23.826166666666666	11.8435	0.2298333333333333
42	8.671	28.33566666666667	13.549833333333334	0.29416666666666663
43	8.029333333333334	18.612166666666667	10.874166666666667	0.23816666666666667
44	7.723333333333333	11.202166666666667	10.571166666666667	0.2475
45	7.2495	6.3175	9.921	0.20883333333333332
46	8.2225	35.800333333333334	12.7875	0.3575
47	8.523833333333334	18.002166666666668	12.538833333333335	0.247
48	9.258833333333333	3.0343333333333335	13.378166666666667	0.2801666666666666
49	7.8425	12.190166666666666	11.257	0.23966666666666667
50	8.860833333333334	27.16433333333333	13.861333333333333	0.36166666666666664
51	6.902666666666666	25.966833333333334	9.416333333333334	0.16566666666666666
52	5.0155	6.045166666666666	7.305499999999999	0.14966666666666667
53	11.6095	6.223333333333333	18.434833333333334	0.49166666666666664
54	11.67	47.68366666666667	18.405666666666665	0.7081666666666667
55	12.394666666666666	2.9641666666666664	19.8345	0.8191666666666666
56	10.865833333333335	6.281833333333334	17.016666666666666	0.47583333333333333
57	6.572500000000001	9.931333333333333	9.063666666666668	0.179
58	7.101833333333333	27.194333333333336	9.681166666666666	0.19516666666666668
59	7.4795	9.2955	10.385333333333334	0.17300000000000001
60	10.499666666666666	42.154833333333336	16.49	0.478
61	8.607333333333335	35.45366666666666	11.980666666666668	0.23683333333333334
62	4.228666666666666	11.708833333333333	6.386	0.11233333333333334
63	7.923666666666667	43.61516666666667	11.522666666666668	0.18216666666666667
64	11.184	11.213666666666667	17.392833333333332	0.40399999999999997
65	10.595	2.3713333333333333	16.844	0.487
66	8.556833333333334	3.041166666666667	11.524333333333335	0.22466666666666668
67	5.833666666666667	11.321833333333332	8.174833333333334	0.14266666666666666
68	6.639833333333333	7.1095	10.008999999999999	0.22083333333333333
69	11.380500000000001	24.82133333333333	17.418833333333335	0.43333333333333335
70	11.484333333333332	23.761166666666668	17.831333333333337	0.5368333333333334
71	7.324166666666667	27.01833333333333	10.802833333333332	0.18566666666666667
72	9.371833333333333	3.271166666666667	13.912	0.26816666666666666
73	12.6815	10.6545	19.962666666666667	0.6448333333333333
74	7.995500000000001	19.871	12.090833333333334	0.24516666666666667
75	10.520166666666666	26.805333333333333	15.633666666666667	0.3203333333333333
76	9.633166666666666	18.491333333333333	12.957500000000001	0.27899999999999997
77	8.356333333333334	8.975	10.953166666666668	0.2115
78	10.789333333333333	35.290333333333336	17.207	0.39666666666666667
79	12.739	3.1518333333333337	20.8035	0.7803333333333333
80	7.495666666666667	3.908333333333333	10.436333333333332	0.29900000000000004
81	8.49	25.82133333333333	11.635333333333334	0.26333333333333336
82	5.751333333333333	3.119333333333333	8.315166666666666	0.15233333333333335
83	7.0233333333333325	33.512166666666666	9.886	0.2205
84	11.030333333333335	1.7734999999999999	16.651666666666667	0.5215
85	8.529833333333334	29.660666666666668	11.702499999999999	0.27516666666666667
86	10.764666666666667	17.415000000000003	14.1475	0.3456666666666666
87	9.3965	26.886333333333333	14.463833333333334	0.44
88	7.843666666666667	2.2038333333333333	11.2195	0.21766666666666667
89	9.113666666666667	30.093	13.613833333333334	0.3491666666666667
90	14.836500000000001	41.693	21.721833333333333	0.5811666666666666
91	7.626833333333334	11.497833333333334	10.458	0.207
92	10.505500000000001	18.39016666666667	13.757666666666667	0.3175
93	6.9848333333333334	32.95883333333333	9.869166666666667	0.17833333333333332
94	15.948666666666666	1.9861666666666666	21.279999999999998	0.5660000000000001
95	8.088333333333333	8.494833333333334	10.715	0.20266666666666666
96	12.593833333333333	13.076500000000001	20.263166666666667	0.736
97	6.717833333333333	22.048166666666667	9.182666666666668	0.20966666666666667
98	7.666833333333333	11.907833333333334	10.365166666666665	0.2395
99	5.2203333333333335	11.395833333333334	7.6129999999999995	0.14433333333333334
100	8.4285	11.909333333333333	10.901666666666667	0.222
101	10.698166666666667	15.210833333333333	15.279	0.5248333333333333
102	13.594333333333333	85.08333333333333	25.744666666666667	1.1260000000000001
103	12.450333333333333	38.695166666666665	20.0605	0.7111666666666667
104	17.908166666666666	18.87683333333333	30.790000000000003	1.4096666666666666
105	12.445166666666667	52.797000000000004	21.781333333333336	0.9670000000000001
106	10.412166666666668	24.540000000000003	14.147666666666668	0.3825
107	7.585999999999999	22.481833333333334	10.403666666666668	0.4455
108	12.704666666666666	2.698666666666667	20.614166666666666	1.3054999999999999
109	6.789833333333333	33.564	11.17	0.2525
110	13.843333333333334	73.91666666666667	23.313499999999998	1.1336666666666666
111	19.567333333333334	9.850999999999999	38.477999999999994	1.7548333333333332
112	19.7885	27.818166666666666	34.55683333333333	1.9541666666666666
113	14.472000000000001	3.4025000000000003	20.528333333333332	1.4516666666666667
114	10.023	7.830166666666667	12.905833333333334	0.35383333333333333
115	12.183833333333332	77.71666666666667	19.4055	0.6858333333333333
116	12.0745	12.069833333333333	19.151833333333332	0.577
117	16.56083333333333	23.529	27.1895	1.1426666666666667
118	9.626833333333334	5.589166666666667	14.183333333333334	0.43183333333333335
119	8.540833333333333	45.8765	13.277666666666667	0.4395
120	11.976166666666668	31.108333333333334	19.48033333333333	0.8738333333333334
121	14.1915	43.91716666666667	22.845333333333333	0.7888333333333333
122	13.437333333333333	35.716166666666666	21.298833333333334	0.9241666666666667
123	16.895166666666668	35.17333333333333	31.029	1.573
124	10.309	27.721166666666665	15.7325	0.4136666666666667
125	9.854000000000001	29.431833333333334	12.020666666666667	0.4473333333333333
126	14.662666666666667	17.966666666666665	20.056833333333334	0.5396666666666667
127	14.352166666666667	30.74116666666667	22.51033333333333	0.7835
128	19.638333333333332	48.786500000000004	30.209999999999997	1.7478333333333333
129	18.465666666666667	26.987833333333334	34.513333333333335	1.4641666666666666
130	11.394	5.028333333333333	17.398000000000003	0.7501666666666666
131	13.186666666666667	27.6825	19.886833333333335	0.5625
132	8.592833333333335	23.159666666666666	10.873	0.396
133	11.162166666666668	32.23533333333333	17.8275	0.6053333333333334
134	11.632166666666667	13.692	18.259	0.7426666666666667
135	9.554499999999999	14.291666666666666	13.198166666666667	0.5048333333333334
136	12.057500000000001	30.3485	20.762833333333333	0.7796666666666667
137	9.443333333333333	27.981166666666663	14.414833333333332	0.3441666666666666
138	8.980833333333333	35.908166666666666	13.672666666666666	0.49916666666666665
139	12.172166666666667	15.725999999999999	18.935833333333335	0.6851666666666667
140	9.435	27.055166666666665	14.559500000000002	0.3955
141	21.625999999999998	131.7	43.51833333333333	2.3089999999999997
142	4.5584999999999996	6.7331666666666665	6.986166666666667	0.19116666666666668
143	14.458833333333333	3.8160000000000003	23.285166666666665	1.3235
144	7.511	16.098666666666666	11.790666666666668	0.425
145	15.125	94.93333333333334	27.340333333333334	1.2123333333333333
146	12.924833333333334	9.0695	21.556166666666666	0.6956666666666667
147	5.672	37.074333333333335	8.716333333333333	0.2645
148	14.1025	9.166166666666667	23.60533333333333	0.9041666666666667
149	22.040833333333335	26.988999999999997	41.63966666666667	2.1958333333333333
150	13.910333333333334	21.60183333333333	19.697499999999998	1.0666666666666667
151	9.542	27.3485	13.395333333333333	0.5285
152	13.287666666666667	4.6135	18.743333333333332	0.6835
153	11.6495	6.987333333333334	18.403000000000002	0.6571666666666667
154	15.057666666666668	43.70616666666667	26.019833333333334	1.2396666666666667
155	10.097833333333334	13.634333333333332	15.233666666666666	0.5003333333333333
156	15.529833333333332	7.2139999999999995	26.71216666666667	1.2693333333333332
157	10.402999999999999	33.568333333333335	15.684666666666667	0.4756666666666666
158	12.728666666666667	23.5295	20.245833333333334	1.0238333333333334
159	10.8515	24.265833333333333	13.327499999999999	0.5549999999999999
160	18.137	21.404833333333332	34.33883333333333	1.469
161	13.533666666666667	7.068666666666667	24.157	1.1076666666666666
162	11.619499999999999	38.94983333333333	17.525666666666666	0.8368333333333333
163	16.812666666666665	20.383	28.574166666666667	1.4218333333333333
164	17.070333333333334	7.535333333333333	27.016166666666667	1.2181666666666666
165	12.043333333333333	81.73333333333333	22.068166666666666	1.05
166	11.8145	46.309666666666665	17.235500000000002	0.7176666666666667
167	8.904333333333334	29.621666666666666	13.5255	0.43216666666666664
168	14.627999999999998	10.291	24.136166666666668	1.3763333333333334
169	16.961833333333335	8.144833333333333	33.815333333333335	1.4466666666666665
170	12.128666666666668	1.9255	18.521166666666666	1.3201666666666667
171	10.197333333333335	36.23866666666667	14.093333333333334	0.4858333333333333
172	12.809333333333333	48.3885	19.830666666666666	0.8480000000000001
173	10.604999999999999	4.784000000000001	16.5365	0.544
174	10.277833333333332	21.723333333333336	15.317833333333335	0.6114999999999999
175	10.948	41.67916666666667	16.365666666666666	0.511
176	12.835	4.503666666666667	19.87933333333333	0.664
177	17.846666666666668	3.329833333333333	31.1005	1.6323333333333332
178	14.564833333333333	1.752	25.760833333333334	1.2283333333333333
179	12.583	1.7581666666666669	19.85216666666667	1.058
180	10.8515	61.766666666666666	17.53966666666667	0.5441666666666667
181	14.283	8.822000000000001	23.738666666666667	1.1756666666666666
182	20.69816666666667	43.772166666666664	37.248666666666665	2.4151666666666665
183	10.505333333333335	19.278833333333335	16.202333333333332	0.47983333333333333
184	10.968333333333334	14.377333333333333	16.477166666666665	0.5151666666666667
185	15.502833333333333	34.89883333333333	22.782	1.1551666666666667
186	13.895000000000001	40.433	20.283166666666666	0.6765000000000001
187	13.203833333333334	2.2678333333333334	19.176166666666667	0.7673333333333333
188	13.440499999999998	9.249	20.78533333333333	0.8783333333333334
189	11.911666666666667	24.778166666666667	16.4865	0.6611666666666667
190	5.855833333333334	17.42	8.495666666666667	0.2673333333333333
191	12.2825	34.219500000000004	18.858999999999998	0.781
192	7.672833333333333	25.573500000000003	10.773333333333333	0.3561666666666667
193	20.75766666666667	54.589333333333336	38.4435	1.8186666666666667
194	11.733833333333333	59.728500000000004	18.815833333333334	0.9166666666666666
195	18.78783333333333	91.75	28.877666666666666	1.2468333333333335
196	12.077	22.668166666666664	18.31116666666667	0.9165
197	16.282333333333334	35.33583333333333	20.631666666666668	0.6251666666666666
198	14.9955	34.4555	24.814666666666668	1.3175
199	6.201833333333334	6.908333333333333	9.064333333333334	0.2798333333333333
200	12.220333333333334	45.63883333333333	19.812666666666665	0.7668333333333333
