ID	count
K01451	1
K01457	1
K01458	1
K01464	1
K01465	1
K01466	1
K01468	1
K01470	1
K01473	1
K01474	1
K01476	1
K01480	1
K01483	1
K01485	1
K01486	1
K01487	1
K01489	1
K01491	1
K01494	1
K01496	1
K01501	1
K01517	1
K01519	1
K01520	1
K01523	1
K01524	1
K01574	1
K01581	1
K01584	1
K01585	1
K01586	1
K01588	1
K01589	1
K01591	1
K01593	1
K01609	1
K01610	1
K01619	1
K01620	1
K01621	1
K01623	1
K01624	1
K01625	1
K01627	1
K01631	1
K01637	1
K01638	1
K01649	1
K01652	1
K01653	1
K01676	1
K01679	1
K01681	1
K01684	1
K01685	1
K01686	1
K01687	1
K01689	1
K01693	1
K01695	1
K01696	1
K01702	1
K01711	1
K01712	1
K01713	1
K01714	1
K01721	1
K01735	1
K01736	1
K01738	1
K01740	1
K01745	1
K01750	1
K01752	1
K01754	1
K01755	1
K01756	1
K01759	1
K01760	1
K01761	1
K01768	1
K01776	1
K01777	1
K01778	1
K01779	1
K01782	1
K01783	1
K01784	1
K01800	1
K01801	1
K01803	1
K01805	1
K01807	1
K01810	1
K01812	1
K01814	1
K01815	1
K01817	1
K01834	1
K01835	1
K01838	1
K01839	1
K01840	1
K01843	1
K01847	1
K01895	1
K01899	1
K01903	1
K01915	1
K01921	1
K01923	1
K01924	1
K01925	1
K01928	1
K01929	1
K01937	1
K01938	1
K01939	1
K01940	1
K01941	1
K01945	1
K01951	1
K01953	1
K01955	1
K01956	1
K01958	1
K01965	1
K01966	1
K01968	1
K01969	1
K01989	1
K01990	1
K01995	1
K01996	1
K01997	1
K01998	1
K01999	1
K02000	1
K02001	1
K02002	1
K02003	1
K02004	1
K02010	1
K02011	1
K02012	1
K02013	1
K02015	1
K02016	1
K02017	1
K02018	1
K02020	1
K02025	1
K02026	1
K02027	1
K02028	1
K02029	1
K02030	1
K02031	1
K02032	1
K02033	1
K02034	1
K02035	1
K02036	1
K02037	1
K02038	1
K02040	1
K02041	1
K02042	1
K02044	1
K02045	1
K02046	1
K02047	1
K02049	1
K02050	1
K02051	1
K02052	1
K02053	1
K02054	1
K02055	1
K02056	1
K02057	1
K02058	1
K02065	1
K02066	1
K02067	1
K02071	1
K02072	1
K02073	1
K02074	1
K02075	1
K02077	1
K02193	1
K02194	1
K02195	1
K02196	1
K02204	1
K02257	1
K02294	1
K02316	1
K02335	1
K02337	1
K02338	1
K02339	1
K02340	1
K02341	1
K02342	1
K02343	1
K02372	1
K02377	1
K02424	1
K02427	1
K02439	1
K02480	1
K02482	1
K02486	1
K02493	1
K02500	1
K02501	1
K02502	1
K02509	1
K02510	1
K02517	1
K02523	1
K02533	1
K02535	1
K02536	1
K02554	1
K02563	1
K02575	1
K02586	1
K02591	1
K02636	1
K02687	1
K02784	1
K02793	1
K02806	1
K03040	1
K03046	1
K03060	1
