ID	PC1	PC2	PC3	PC4	PC5
K05777	-0.7799112034750859	-0.30314351363728714	-0.7413729683419996	0.014444606102142868	2.1530034421818765e-16
K05780	0.8042721721104501	-0.7612937570223942	0.1535506867800886	0.0005246683437890448	-2.1187517765450364e-16
K05781	0.8042721721104501	-0.7612937570223942	0.1535506867800886	0.0005246683437890448	-2.1187517765450364e-16
K05782	1.1047574626237324	0.14221320388217323	-0.09633903721315447	-0.0022678905615924087	-2.9161583855656377e-16
K05783	0.5487738643695511	0.9354686491212523	-0.271541428521703	-0.0033022556779767035	-9.237099364174467e-17
K05784	0.5487738643695511	0.9354686491212523	-0.271541428521703	-0.0033022556779767035	-9.237099364174467e-17
K05785	0.5487738643695511	0.9354686491212523	-0.271541428521703	-0.0033022556779767035	-9.237099364174467e-17
K05786	0.3978537898830479	-0.19709857152403562	-1.0259834825068372	0.014913369908683366	-3.20940844262365e-18
K05787	0.5487738643695511	0.9354686491212523	-0.271541428521703	-0.0033022556779767035	-9.237099364174467e-17
K05788	1.1047574626237324	0.14221320388217323	-0.09633903721315447	-0.0022678905615924087	-2.9161583855656377e-16
K05794	0.3978537898830479	-0.19709857152403562	-1.0259834825068372	0.014913369908683366	-3.20940844262365e-18
K05799	0.3978537898830479	-0.19709857152403562	-1.0259834825068372	0.014913369908683366	-3.20940844262365e-18
K05800	0.2649255441866428	-0.777651883589806	-0.25563960519512335	-0.713947054229041	-8.228661396936788e-17
K05801	1.1047574626237324	0.14221320388217323	-0.09633903721315447	-0.0022678905615924087	-2.9161583855656377e-16
K05802	0.8042721721104501	-0.7612937570223942	0.1535506867800886	0.0005246683437890448	-2.1187517765450364e-16
K05805	1.1047574626237324	0.14221320388217323	-0.09633903721315447	-0.0022678905615924087	-2.9161583855656377e-16
K05807	1.1047574626237324	0.14221320388217323	-0.09633903721315447	-0.0022678905615924087	-2.9161583855656377e-16
K05808	0.3978537898830479	-0.19709857152403562	-1.0259834825068372	0.014913369908683366	-3.20940844262365e-18
K05810	0.3978537898830479	-0.19709857152403562	-1.0259834825068372	0.014913369908683366	-3.20940844262365e-18
K05812	0.5487738643695511	0.9354686491212523	-0.271541428521703	-0.0033022556779767035	-9.237099364174467e-17
K05813	-0.12322572481158779	-0.9247372633276951	-0.6159993575869532	0.014872996010967577	8.195570073890384e-17
K05814	-0.12322572481158779	-0.9247372633276951	-0.6159993575869532	0.014872996010967577	8.195570073890384e-17
K05815	-0.12322572481158779	-0.9247372633276951	-0.6159993575869532	0.014872996010967577	8.195570073890384e-17
K05817	0.5487738643695511	0.9354686491212523	-0.271541428521703	-0.0033022556779767035	-9.237099364174467e-17
K05818	0.5487738643695511	0.9354686491212523	-0.271541428521703	-0.0033022556779767035	-9.237099364174467e-17
K05819	1.1047574626237324	0.14221320388217323	-0.09633903721315447	-0.0022678905615924087	-2.9161583855656377e-16
K05820	0.3978537898830479	-0.19709857152403562	-1.0259834825068372	0.014913369908683366	-3.20940844262365e-18
K05822	-0.7799112034750859	-0.30314351363728714	-0.7413729683419996	0.014444606102142868	2.1530034421818765e-16
K05823	-0.7799112034750859	-0.30314351363728714	-0.7413729683419996	0.014444606102142868	2.1530034421818765e-16
K05825	0.8042721721104501	-0.7612937570223942	0.1535506867800886	0.0005246683437890448	-2.1187517765450364e-16
K05832	0.8042721721104501	-0.7612937570223942	0.1535506867800886	0.0005246683437890448	-2.1187517765450364e-16
K05833	0.8042721721104501	-0.7612937570223942	0.1535506867800886	0.0005246683437890448	-2.1187517765450364e-16
K05834	1.1047574626237324	0.14221320388217323	-0.09633903721315447	-0.0022678905615924087	-2.9161583855656377e-16
K05835	0.8042721721104501	-0.7612937570223942	0.1535506867800886	0.0005246683437890448	-2.1187517765450364e-16
K05836	0.8042721721104501	-0.7612937570223942	0.1535506867800886	0.0005246683437890448	-2.1187517765450364e-16
K05837	-0.3318392195148517	0.460663439935294	-0.9630856163102006	0.011748325631725695	2.633898006295743e-16
K05838	1.1047574626237324	0.14221320388217323	-0.09633903721315447	-0.0022678905615924087	-2.9161583855656377e-16
K05844	-0.3318392195148517	0.460663439935294	-0.9630856163102006	0.011748325631725695	2.633898006295743e-16
K05845	-0.12322572481158779	-0.9247372633276951	-0.6159993575869532	0.014872996010967577	8.195570073890384e-17
K05846	-0.12322572481158779	-0.9247372633276951	-0.6159993575869532	0.014872996010967577	8.195570073890384e-17
K05847	-0.12322572481158779	-0.9247372633276951	-0.6159993575869532	0.014872996010967577	8.195570073890384e-17
K05874	0.3978537898830479	-0.19709857152403562	-1.0259834825068372	0.014913369908683366	-3.20940844262365e-18
K05875	1.1047574626237324	0.14221320388217323	-0.09633903721315447	-0.0022678905615924087	-2.9161583855656377e-16
K05878	0.3978537898830479	-0.19709857152403562	-1.0259834825068372	0.014913369908683366	-3.20940844262365e-18
K05879	0.3978537898830479	-0.19709857152403562	-1.0259834825068372	0.014913369908683366	-3.20940844262365e-18
K05881	-0.12322572481158779	-0.9247372633276951	-0.6159993575869532	0.014872996010967577	8.195570073890384e-17
K05882	0.8042721721104501	-0.7612937570223942	0.1535506867800886	0.0005246683437890448	-2.1187517765450364e-16
K05884	1.1047574626237324	0.14221320388217323	-0.09633903721315447	-0.0022678905615924087	-2.9161583855656377e-16
K05888	-0.3978537898830479	0.19709857152403562	1.0259834825068372	-0.014913369908683355	-2.9969269404919904e-18
K05895	0.8042721721104501	-0.7612937570223942	0.1535506867800886	0.0005246683437890448	-2.1187517765450364e-16
