ID	FragGeneScan_GIC31	FragGeneScan_DJ	FragGeneScan_RW1	FragGeneScan_Rleg	FragGeneScan_RW2
K01483	0.0	1.0	0.0	1.0	0.0
K01485	0.0	1.0	0.0	1.0	0.0
K01486	1.0	0.0	0.0	1.0	1.0
K01487	0.0	1.0	0.0	1.0	0.0
K01488	0.0	0.0	1.0	0.0	0.0
K01489	1.0	0.0	1.0	1.0	1.0
K01491	1.0	1.0	0.0	1.0	1.0
K01493	1.0	0.0	0.0	0.0	1.0
K01494	0.0	1.0	0.0	1.0	0.0
K01496	0.0	1.0	0.0	1.0	0.0
K01501	0.0	0.0	1.0	1.0	0.0
K01515	1.0	1.0	0.0	0.0	1.0
K01517	0.0	0.0	0.0	1.0	0.0
K01519	1.0	1.0	0.0	1.0	1.0
K01520	0.0	1.0	0.0	1.0	0.0
K01523	1.0	1.0	0.0	1.0	1.0
K01524	1.0	1.0	0.0	1.0	1.0
K01525	0.0	1.0	0.0	0.0	0.0
K01555	0.0	1.0	0.0	0.0	0.0
K01556	1.0	0.0	0.0	0.0	1.0
K01557	0.0	1.0	0.0	0.0	0.0
K01574	0.0	0.0	0.0	1.0	0.0
K01581	0.0	1.0	0.0	1.0	0.0
K01584	0.0	1.0	0.0	1.0	0.0
K01585	1.0	1.0	0.0	0.0	1.0
K01586	1.0	1.0	0.0	1.0	1.0
K01588	1.0	1.0	1.0	1.0	1.0
K01589	1.0	1.0	1.0	1.0	1.0
K01591	1.0	1.0	0.0	1.0	1.0
K01593	0.0	0.0	0.0	1.0	0.0
K01595	0.0	1.0	0.0	0.0	0.0
K01609	1.0	1.0	0.0	1.0	1.0
K01610	1.0	1.0	0.0	1.0	1.0
K01611	1.0	1.0	0.0	0.0	1.0
K01617	0.0	1.0	0.0	0.0	0.0
K01619	1.0	0.0	0.0	1.0	1.0
K01620	1.0	0.0	0.0	1.0	1.0
K01621	0.0	1.0	1.0	1.0	0.0
K01623	0.0	0.0	0.0	1.0	0.0
K01624	0.0	1.0	0.0	1.0	0.0
K01625	0.0	1.0	0.0	1.0	0.0
K01626	0.0	1.0	0.0	1.0	0.0
K01627	0.0	1.0	0.0	1.0	0.0
K01631	0.0	1.0	0.0	1.0	0.0
K01637	1.0	1.0	0.0	1.0	1.0
K01638	1.0	1.0	0.0	1.0	1.0
K01640	0.0	1.0	0.0	0.0	0.0
K01649	0.0	1.0	0.0	1.0	0.0
K01652	0.0	1.0	1.0	1.0	0.0
K01653	0.0	1.0	1.0	1.0	0.0
K01657	1.0	1.0	0.0	0.0	1.0
K01658	1.0	1.0	0.0	0.0	1.0
K01676	0.0	1.0	0.0	1.0	0.0
K01679	1.0	1.0	0.0	1.0	1.0
K01681	1.0	1.0	0.0	1.0	1.0
K01682	0.0	1.0	0.0	0.0	0.0
K01684	0.0	1.0	0.0	1.0	0.0
K01685	0.0	0.0	0.0	1.0	0.0
K01686	0.0	0.0	0.0	1.0	0.0
K01687	0.0	1.0	1.0	1.0	0.0
K01689	1.0	1.0	1.0	1.0	1.0
K01693	1.0	1.0	0.0	1.0	1.0
K01695	1.0	1.0	0.0	1.0	1.0
K01696	1.0	1.0	0.0	1.0	1.0
K01697	0.0	0.0	1.0	0.0	0.0
K01702	0.0	1.0	0.0	1.0	0.0
K01704	0.0	1.0	0.0	0.0	0.0
K01711	1.0	0.0	0.0	1.0	0.0
K01712	0.0	1.0	0.0	1.0	0.0
K01714	1.0	1.0	0.0	1.0	1.0
K01721	0.0	0.0	0.0	1.0	0.0
K01728	1.0	0.0	0.0	0.0	1.0
K01729	0.0	1.0	0.0	0.0	0.0
K01735	1.0	1.0	0.0	1.0	1.0
K01736	1.0	1.0	0.0	1.0	1.0
K01738	1.0	1.0	1.0	1.0	1.0
K01740	0.0	0.0	0.0	1.0	0.0
K01745	0.0	1.0	0.0	1.0	0.0
K01750	0.0	0.0	0.0	1.0	0.0
K01752	1.0	1.0	0.0	1.0	1.0
K01754	0.0	1.0	1.0	1.0	0.0
K01755	1.0	1.0	0.0	1.0	1.0
K01756	1.0	1.0	0.0	1.0	1.0
K01758	0.0	0.0	1.0	0.0	0.0
K01759	0.0	0.0	0.0	1.0	0.0
K01760	0.0	1.0	0.0	1.0	0.0
K01761	0.0	1.0	0.0	1.0	0.0
K01768	0.0	1.0	0.0	1.0	0.0
K01776	1.0	1.0	0.0	1.0	1.0
K01777	0.0	0.0	0.0	1.0	0.0
K01778	0.0	1.0	0.0	1.0	0.0
K01779	0.0	0.0	0.0	1.0	0.0
K01782	0.0	0.0	0.0	1.0	0.0
K01783	1.0	1.0	0.0	1.0	1.0
K01784	1.0	1.0	0.0	1.0	1.0
K01800	0.0	0.0	0.0	1.0	0.0
K01801	0.0	1.0	0.0	1.0	0.0
K01803	1.0	1.0	0.0	1.0	1.0
K01804	0.0	0.0	0.0	0.0	1.0
K01805	0.0	0.0	0.0	1.0	0.0
K01807	0.0	1.0	0.0	1.0	0.0
K01808	1.0	1.0	0.0	1.0	1.0
K01809	1.0	0.0	1.0	0.0	1.0
K01810	1.0	1.0	0.0	1.0	1.0
K01812	0.0	0.0	0.0	1.0	0.0
K01814	1.0	1.0	0.0	1.0	1.0
K01815	0.0	0.0	0.0	1.0	0.0
K01817	1.0	1.0	0.0	1.0	1.0
K01825	0.0	1.0	0.0	0.0	0.0
K01834	0.0	0.0	0.0	1.0	0.0
K01835	1.0	0.0	0.0	1.0	1.0
K01838	1.0	1.0	0.0	1.0	1.0
K01839	1.0	0.0	0.0	1.0	1.0
K01840	1.0	1.0	1.0	1.0	1.0
K01843	0.0	0.0	0.0	1.0	0.0
K01847	0.0	0.0	0.0	1.0	0.0
K01895	1.0	1.0	1.0	1.0	1.0
K01897	0.0	1.0	0.0	0.0	0.0
K01899	0.0	1.0	0.0	1.0	0.0
K01902	1.0	0.0	0.0	0.0	1.0
K01903	1.0	1.0	0.0	1.0	1.0
K01912	0.0	0.0	0.0	1.0	0.0
K01914	1.0	0.0	0.0	0.0	1.0
K01915	1.0	1.0	0.0	1.0	1.0
K01921	1.0	1.0	0.0	1.0	1.0
K01923	1.0	1.0	0.0	1.0	1.0
K01924	1.0	1.0	0.0	1.0	1.0
K01925	1.0	1.0	0.0	1.0	1.0
K01928	1.0	0.0	0.0	1.0	1.0
K01929	1.0	1.0	0.0	1.0	1.0
K01933	1.0	1.0	0.0	0.0	1.0
K01937	1.0	1.0	0.0	1.0	1.0
K01938	1.0	0.0	0.0	1.0	1.0
K01939	1.0	1.0	0.0	1.0	1.0
K01940	1.0	1.0	0.0	1.0	1.0
K01941	0.0	0.0	0.0	1.0	0.0
K01945	1.0	1.0	0.0	1.0	1.0
K01951	1.0	1.0	0.0	1.0	1.0
K01952	0.0	1.0	0.0	0.0	0.0
K01953	1.0	1.0	0.0	1.0	1.0
K01955	1.0	1.0	0.0	1.0	1.0
K01956	1.0	1.0	0.0	1.0	1.0
K01958	1.0	0.0	0.0	1.0	1.0
K01959	0.0	1.0	0.0	0.0	0.0
K01960	0.0	1.0	0.0	0.0	0.0
K01965	0.0	0.0	0.0	1.0	0.0
K01966	0.0	0.0	1.0	1.0	0.0
K01968	0.0	1.0	0.0	1.0	0.0
K01969	0.0	1.0	0.0	1.0	0.0
K01989	0.0	0.0	0.0	1.0	0.0
K01990	1.0	1.0	0.0	1.0	1.0
K01995	0.0	1.0	0.0	1.0	0.0
K01996	0.0	1.0	0.0	1.0	0.0
K01997	0.0	1.0	0.0	1.0	0.0
K01998	0.0	1.0	0.0	1.0	0.0
K01999	0.0	1.0	0.0	1.0	0.0
K02000	0.0	0.0	0.0	1.0	0.0
K02001	0.0	0.0	0.0	1.0	0.0
K02002	0.0	0.0	0.0	1.0	0.0
K02003	1.0	1.0	0.0	1.0	1.0
K02004	1.0	1.0	0.0	1.0	1.0
K02010	1.0	1.0	0.0	1.0	1.0
K02011	1.0	1.0	0.0	1.0	1.0
K02012	1.0	1.0	0.0	1.0	1.0
K02013	0.0	1.0	0.0	1.0	0.0
K02015	1.0	1.0	0.0	1.0	1.0
K02016	1.0	1.0	0.0	1.0	1.0
K02017	0.0	1.0	0.0	1.0	0.0
K02018	1.0	1.0	0.0	1.0	1.0
K02020	1.0	1.0	0.0	1.0	1.0
K02025	1.0	0.0	0.0	1.0	0.0
K02026	1.0	0.0	0.0	1.0	0.0
K02027	1.0	0.0	0.0	1.0	0.0
K02028	1.0	1.0	0.0	1.0	1.0
K02029	1.0	1.0	0.0	1.0	1.0
K02030	0.0	1.0	0.0	1.0	0.0
K02031	0.0	0.0	0.0	1.0	0.0
K02032	1.0	1.0	0.0	1.0	1.0
K02033	1.0	1.0	0.0	1.0	1.0
K02034	1.0	1.0	1.0	1.0	1.0
K02035	0.0	1.0	0.0	1.0	0.0
K02036	1.0	1.0	0.0	1.0	1.0
K02037	1.0	1.0	0.0	1.0	1.0
K02038	1.0	1.0	0.0	1.0	1.0
K02040	1.0	1.0	0.0	1.0	1.0
K02041	0.0	1.0	0.0	1.0	0.0
K02042	0.0	1.0	0.0	1.0	0.0
K02044	0.0	1.0	0.0	1.0	0.0
K02045	0.0	1.0	0.0	1.0	0.0
K02046	0.0	1.0	0.0	1.0	0.0
K02047	0.0	1.0	0.0	1.0	0.0
K02048	0.0	1.0	0.0	0.0	0.0
K02049	0.0	1.0	0.0	1.0	0.0
K02050	0.0	0.0	0.0	1.0	0.0
K02051	0.0	0.0	0.0	1.0	0.0
K02052	0.0	1.0	0.0	1.0	0.0
K02053	1.0	0.0	0.0	1.0	1.0
K02054	1.0	0.0	0.0	1.0	1.0
K02055	0.0	0.0	0.0	1.0	0.0
K02056	0.0	0.0	0.0	1.0	0.0
K02057	0.0	0.0	0.0	1.0	0.0
K02058	1.0	0.0	0.0	1.0	1.0
K02065	0.0	1.0	0.0	1.0	0.0
K02066	0.0	1.0	0.0	1.0	0.0
K02067	0.0	1.0	0.0	1.0	0.0
K02068	1.0	0.0	0.0	0.0	1.0
K02069	1.0	0.0	0.0	0.0	1.0
K02071	1.0	1.0	0.0	1.0	1.0
K02072	1.0	1.0	0.0	1.0	1.0
K02073	1.0	1.0	0.0	1.0	1.0
K02074	0.0	0.0	0.0	1.0	0.0
K02075	0.0	0.0	0.0	1.0	0.0
K02077	0.0	0.0	0.0	1.0	0.0
K02193	1.0	1.0	0.0	1.0	0.0
K02194	0.0	1.0	0.0	1.0	0.0
K02195	0.0	1.0	0.0	1.0	0.0
K02196	0.0	1.0	0.0	1.0	0.0
K02204	1.0	1.0	1.0	1.0	1.0
K02236	1.0	0.0	0.0	0.0	1.0
K02257	1.0	1.0	0.0	1.0	1.0
K02294	0.0	0.0	0.0	1.0	0.0
K02316	1.0	1.0	0.0	1.0	1.0
K02335	1.0	1.0	0.0	1.0	1.0
K02337	1.0	1.0	0.0	1.0	1.0
K02338	1.0	1.0	0.0	1.0	1.0
K02339	0.0	1.0	0.0	1.0	0.0
K02340	1.0	1.0	0.0	1.0	1.0
K02341	1.0	1.0	1.0	1.0	1.0
K02342	1.0	1.0	0.0	1.0	1.0
K02343	1.0	1.0	1.0	1.0	1.0
K02363	0.0	1.0	0.0	0.0	0.0
K02364	0.0	1.0	0.0	1.0	0.0
K02372	1.0	1.0	0.0	1.0	1.0
K02377	1.0	0.0	0.0	1.0	0.0
K02424	1.0	0.0	0.0	1.0	1.0
K02427	0.0	1.0	0.0	1.0	0.0
K02429	0.0	1.0	0.0	0.0	0.0
K02439	1.0	1.0	0.0	1.0	1.0
K02446	1.0	0.0	0.0	0.0	1.0
K02472	1.0	0.0	0.0	0.0	1.0
K02474	0.0	1.0	0.0	0.0	1.0
K02478	1.0	0.0	0.0	0.0	1.0
K02480	0.0	1.0	0.0	1.0	0.0
K02482	0.0	1.0	0.0	1.0	0.0
K02484	0.0	1.0	0.0	0.0	1.0
K02486	0.0	0.0	0.0	1.0	0.0
K02491	1.0	0.0	0.0	0.0	1.0
K02493	1.0	1.0	0.0	1.0	1.0
K02500	1.0	1.0	0.0	1.0	1.0
K02501	1.0	1.0	0.0	1.0	1.0
K02502	1.0	1.0	0.0	1.0	1.0
K02509	0.0	0.0	1.0	1.0	0.0
K02510	0.0	1.0	1.0	1.0	1.0
K02517	0.0	1.0	0.0	1.0	0.0
K02523	0.0	1.0	0.0	1.0	0.0
K02532	0.0	1.0	0.0	0.0	1.0
K02533	0.0	0.0	0.0	1.0	0.0
K02535	0.0	1.0	0.0	1.0	0.0
K02536	0.0	1.0	0.0	1.0	0.0
K02554	0.0	1.0	0.0	1.0	0.0
K02558	0.0	1.0	0.0	0.0	0.0
