ID	FragGeneScan_GIC31	FragGeneScan_DJ	FragGeneScan_RW1	FragGeneScan_Rleg	FragGeneScan_RW2
K00064	0.0	1.0	0.0	1.0	0.0
K00065	0.0	0.0	0.0	1.0	0.0
K00066	0.0	1.0	0.0	0.0	0.0
K00067	1.0	1.0	0.0	1.0	1.0
K00074	0.0	1.0	0.0	1.0	0.0
K00075	1.0	1.0	0.0	1.0	1.0
K00077	1.0	1.0	0.0	1.0	1.0
K00078	0.0	1.0	0.0	0.0	0.0
K00086	0.0	1.0	0.0	0.0	0.0
K00088	1.0	1.0	0.0	1.0	1.0
K00090	1.0	0.0	0.0	0.0	0.0
K00091	0.0	1.0	0.0	0.0	0.0
K00096	0.0	0.0	0.0	1.0	1.0
K00097	0.0	1.0	0.0	1.0	0.0
K00098	0.0	0.0	1.0	1.0	0.0
K00099	1.0	1.0	0.0	1.0	1.0
K00101	0.0	0.0	0.0	1.0	0.0
K00102	0.0	0.0	0.0	1.0	0.0
K00104	1.0	1.0	0.0	1.0	1.0
K00108	0.0	0.0	0.0	1.0	0.0
K00111	1.0	0.0	0.0	1.0	1.0
K00113	0.0	1.0	0.0	1.0	0.0
K00116	1.0	1.0	1.0	0.0	1.0
K00117	0.0	0.0	0.0	1.0	0.0
K00121	0.0	1.0	0.0	1.0	0.0
K00123	0.0	0.0	0.0	1.0	0.0
K00124	0.0	0.0	0.0	0.0	1.0
K00126	0.0	0.0	0.0	1.0	0.0
K00127	0.0	0.0	0.0	1.0	0.0
K00128	0.0	0.0	0.0	1.0	0.0
K00130	0.0	0.0	0.0	1.0	0.0
K00131	1.0	1.0	0.0	1.0	1.0
K00133	1.0	1.0	1.0	1.0	1.0
K00134	1.0	1.0	0.0	1.0	1.0
K00135	1.0	1.0	1.0	1.0	1.0
K00137	0.0	0.0	0.0	1.0	0.0
K00138	1.0	1.0	0.0	1.0	1.0
K00140	0.0	1.0	0.0	1.0	0.0
K00141	0.0	0.0	0.0	1.0	0.0
K00145	1.0	1.0	0.0	1.0	1.0
K00147	0.0	1.0	0.0	1.0	0.0
K00148	1.0	1.0	0.0	1.0	1.0
K00151	0.0	0.0	0.0	1.0	0.0
K00154	0.0	0.0	0.0	1.0	0.0
K00156	0.0	1.0	0.0	0.0	0.0
K00161	0.0	1.0	0.0	1.0	0.0
K00162	0.0	1.0	0.0	1.0	0.0
K00163	0.0	1.0	0.0	1.0	0.0
K00164	1.0	1.0	0.0	1.0	1.0
K00166	1.0	1.0	0.0	1.0	1.0
K00167	1.0	1.0	0.0	1.0	1.0
K00196	0.0	1.0	0.0	0.0	0.0
K00198	0.0	1.0	0.0	0.0	0.0
K00208	1.0	1.0	0.0	1.0	1.0
K00215	1.0	1.0	0.0	1.0	1.0
K00216	0.0	1.0	0.0	0.0	0.0
K00217	0.0	0.0	0.0	1.0	0.0
K00220	0.0	0.0	0.0	1.0	0.0
K00221	0.0	0.0	1.0	0.0	0.0
K00226	0.0	1.0	0.0	0.0	0.0
K00228	0.0	1.0	0.0	1.0	0.0
K00230	0.0	1.0	0.0	0.0	0.0
K00231	1.0	0.0	0.0	0.0	1.0
K00234	0.0	1.0	0.0	1.0	0.0
K00235	0.0	1.0	0.0	1.0	0.0
K00236	0.0	0.0	0.0	1.0	0.0
K00239	1.0	0.0	1.0	1.0	1.0
K00240	1.0	0.0	1.0	0.0	1.0
K00241	1.0	1.0	1.0	0.0	1.0
K00242	0.0	1.0	1.0	1.0	0.0
K00243	1.0	1.0	0.0	0.0	1.0
K00248	1.0	1.0	0.0	1.0	1.0
K00249	0.0	0.0	0.0	1.0	0.0
K00252	0.0	1.0	1.0	1.0	0.0
K00253	0.0	1.0	0.0	1.0	0.0
K00254	0.0	1.0	0.0	0.0	0.0
K00259	1.0	1.0	0.0	1.0	1.0
K00260	1.0	0.0	0.0	0.0	1.0
K00263	1.0	1.0	0.0	0.0	1.0
K00264	1.0	0.0	0.0	0.0	1.0
K00265	1.0	1.0	0.0	1.0	1.0
K00266	0.0	1.0	0.0	1.0	0.0
K00274	1.0	1.0	0.0	1.0	1.0
K00275	0.0	1.0	0.0	1.0	0.0
K00276	0.0	0.0	0.0	1.0	0.0
K00278	1.0	1.0	0.0	1.0	1.0
K00281	0.0	1.0	0.0	1.0	0.0
K00282	1.0	0.0	0.0	0.0	1.0
K00283	1.0	0.0	0.0	0.0	1.0
K00285	0.0	1.0	0.0	1.0	0.0
K00286	1.0	1.0	0.0	1.0	1.0
K00287	1.0	1.0	0.0	1.0	1.0
K00297	0.0	1.0	0.0	1.0	0.0
K00299	0.0	1.0	0.0	1.0	0.0
K00301	1.0	0.0	0.0	1.0	1.0
K00302	0.0	0.0	0.0	1.0	0.0
K00303	0.0	0.0	0.0	1.0	0.0
K00304	0.0	0.0	0.0	1.0	0.0
K00305	0.0	0.0	0.0	1.0	0.0
K00309	0.0	0.0	0.0	1.0	0.0
K00310	0.0	0.0	0.0	1.0	0.0
K00311	0.0	1.0	0.0	1.0	0.0
K00313	0.0	1.0	0.0	1.0	0.0
K00318	1.0	0.0	0.0	0.0	1.0
K00320	1.0	1.0	0.0	1.0	1.0
K00322	0.0	1.0	0.0	1.0	0.0
K00324	0.0	1.0	0.0	1.0	0.0
K00325	0.0	1.0	0.0	1.0	0.0
K00330	0.0	1.0	0.0	1.0	0.0
K00331	0.0	1.0	0.0	1.0	0.0
K00332	0.0	0.0	0.0	1.0	0.0
K00333	0.0	0.0	0.0	1.0	0.0
K00334	0.0	1.0	0.0	1.0	0.0
K00335	0.0	1.0	0.0	1.0	0.0
K00336	0.0	1.0	0.0	1.0	0.0
K00337	0.0	1.0	0.0	1.0	0.0
K00338	0.0	1.0	0.0	1.0	0.0
K00339	0.0	1.0	0.0	1.0	0.0
K00340	0.0	1.0	0.0	1.0	0.0
K00341	0.0	1.0	0.0	1.0	0.0
K00342	0.0	1.0	0.0	1.0	0.0
K00343	0.0	1.0	0.0	1.0	0.0
K00344	1.0	1.0	1.0	1.0	1.0
K00346	0.0	1.0	0.0	0.0	0.0
K00347	0.0	1.0	0.0	0.0	0.0
K00348	0.0	1.0	0.0	0.0	0.0
K00349	0.0	1.0	0.0	0.0	0.0
K00350	0.0	1.0	0.0	0.0	0.0
K00351	0.0	1.0	0.0	0.0	0.0
K00354	0.0	0.0	0.0	1.0	0.0
K00355	0.0	1.0	0.0	1.0	0.0
K00362	0.0	1.0	0.0	1.0	0.0
K00364	1.0	0.0	0.0	0.0	1.0
K00372	0.0	1.0	0.0	1.0	1.0
K00375	1.0	0.0	0.0	1.0	1.0
K00380	0.0	1.0	0.0	1.0	0.0
K00381	0.0	1.0	0.0	1.0	0.0
K00382	1.0	1.0	1.0	1.0	1.0
K00383	1.0	1.0	0.0	1.0	1.0
K00384	1.0	0.0	0.0	1.0	1.0
K00389	0.0	1.0	0.0	0.0	1.0
