ID	Function
VOG10278	unannotated protein
VOG10279	hypothetical protein
VOG10280	hypothetical protein
VOG10281	polysaccharide deacetylase
VOG10282	hypothetical protein
VOG10283	hypothetical protein
VOG10284	tail tube
VOG10285	hypothetical protein
VOG10286	hypothetical protein
VOG10287	hypothetical protein
VOG10288	hypothetical protein
VOG10289	thymidylate kinase
VOG1029	helicase
VOG10290	hypothetical protein
VOG10291	hypothetical protein
VOG10292	tail assembly protein
VOG10293	hypothetical protein
VOG10294	UDP-glucose dehydrogenase
VOG10295	hypothetical protein
VOG10296	hypothetical protein
VOG10297	hypothetical protein
VOG10298	radical SAM domain-containing protein
VOG10299	unannotated protein
VOG1030	thymidine kinase
VOG10300	hypothetical protein
VOG10301	membrane protein
VOG10302	hypothetical protein
VOG10303	hypothetical protein
VOG10304	holin
VOG10305	hypothetical protein
VOG10306	hypothetical protein
VOG10307	hypothetical protein
VOG10308	radical SAM domain-containing protein
VOG10309	unannotated protein
