ID	FragGeneScan_gsB_3841	FragGeneScan_GIC31_complete	FragGeneScan_gsE_BIHB1217	FragGeneScan_RW2_complete	FragGeneScan_gsC_SM41	FragGeneScan_S17	FragGeneScan_JQGI01_HUD	FragGeneScan_SH31	FragGeneScan_gsD_SM51	FragGeneScan_gsA_SM152B
K00450	0.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0	0.0	0.0
K00451	1.0	0.0	1.0	0.0	1.0	0.0	0.0	0.0	1.0	1.0
K00453	0.0	1.0	0.0	1.0	0.0	1.0	1.0	1.0	0.0	0.0
K00457	1.0	0.0	1.0	0.0	1.0	0.0	0.0	0.0	1.0	1.0
K00481	1.0	0.0	1.0	0.0	1.0	0.0	0.0	0.0	1.0	1.0
K00491	0.0	1.0	0.0	1.0	0.0	1.0	1.0	1.0	0.0	0.0
K00500	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0
K00525	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0
K00526	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0
K00529	1.0	0.0	1.0	0.0	1.0	1.0	0.0	1.0	1.0	1.0
K00547	1.0	0.0	1.0	0.0	1.0	0.0	0.0	0.0	1.0	1.0
K00548	1.0	0.0	1.0	0.0	1.0	0.0	1.0	0.0	1.0	1.0
K00558	1.0	0.0	1.0	0.0	1.0	1.0	1.0	1.0	1.0	1.0
K00560	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0
K00567	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0
K00568	1.0	0.0	1.0	0.0	1.0	0.0	1.0	1.0	1.0	1.0
K00577	0.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
K00588	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0
K00600	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0
K00602	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0
