>NZ_ASHR01000014.1
196343	197467	+	2	1.120596	I:	D:
197464	198690	+	1	1.131813	I:	D:
198826	199194	+	1	1.184197	I:	D:
199254	200534	+	3	1.168746	I:	D:
200599	203373	+	1	1.126024	I:	D:
203604	204956	+	3	1.139725	I:	D:
205053	205475	-	3	1.167459	I:	D:
205520	205744	+	2	1.164106	I:	D:
205771	207159	+	1	1.135717	I:	D:
207207	208205	+	3	1.173906	I:	D:
208208	209626	+	2	1.155053	I:	D:
209744	210319	+	2	1.257025	I:	D:
210527	210709	+	2	1.261326	I:	D:
210676	212199	+	1	1.157057	I:	D:
212749	213240	-	1	1.141961	I:	D:
213262	214392	-	1	1.155823	I:	D:
214096	215526	+	1	1.156104	I:	D:
215538	216515	+	3	1.155421	I:	D:
216529	217845	+	1	1.155752	I:	D:
217882	218328	+	1	1.198153	I:	D:
218356	219483	+	1	1.130259	I:	D:
219750	221474	+	3	1.159711	I:	D:
221487	221615	+	3	1.191775	I:	D:
221684	222958	+	2	1.129444	I:	D:
223027	224469	-	1	1.137747	I:	D:
224610	225563	+	3	1.156983	I:	D:
225586	226488	-	1	1.157700	I:	D:
226601	227392	+	2	1.094898	I:	D:
227494	228900	+	1	1.138932	I:	D:
228933	229676	+	3	1.121956	I:	D:
229716	230771	+	3	1.122288	I:	D:
230771	231553	+	2	1.176930	I:	D:
231576	232643	+	3	1.116066	I:	D:
232640	233224	+	2	1.137660	I:	D:
233278	234687	+	1	1.136376	I:	D:
234874	235500	+	1	1.130127	I:	D:
235522	236103	+	1	1.131231	I:	D:
236246	236704	+	2	1.133407	I:	D:
236715	240275	+	3	1.125178	I:	D:
240272	240940	+	2	1.126045	I:	D:
240948	241577	+	3	1.128265	I:	D:
241727	242431	+	2	1.137033	I:	D:
242509	243168	-	1	1.169950	I:	D:
243264	244514	+	3	1.113972	I:	D:
244565	245845	+	2	1.114807	I:	D:
245907	246362	+	3	1.147565	I:	D:
246359	246886	+	2	1.159106	I:	D:
246945	248285	+	3	1.138855	I:	D:
248387	248983	+	2	1.177786	I:	D:
249040	250197	+	1	1.147370	I:	D:
250261	251505	+	1	1.142047	I:	D:
251525	252073	+	2	1.153168	I:	D:
252078	254393	-	3	1.163306	I:	D:
253363	254520	+	1	1.135397	I:	D:
254507	255739	+	2	1.133640	I:	D:
255765	256253	-	3	1.138615	I:	D:
256309	256887	-	1	1.202000	I:	D:
