ID	count
K00763	1
K00764	1
K00765	1
K00766	1
K00767	1
K00768	1
K00769	1
K00773	1
K00783	1
K00788	1
K00789	1
K00790	1
K00793	1
K00794	1
K00795	1
K00796	1
K00797	1
K00798	1
K00799	1
K00800	1
K00806	1
K00808	1
K00812	1
K00813	1
K00817	1
K00819	1
K00820	1
K00821	1
K00822	1
K00824	1
K00826	1
K00830	1
K00831	1
K00845	1
K00847	1
K00851	1
K00852	1
K00854	1
K00857	1
K00858	1
K00859	1
K00862	1
K00863	1
K00864	1
K00867	1
K00868	1
K00873	1
K00874	1
K00875	1
K00878	1
K00879	1
K00880	1
K00883	1
K00887	1
K00895	1
K00912	1
K00919	1
K00925	1
K00926	1
K00927	1
K00928	1
K00930	1
K00931	1
K00936	1
K00937	1
K00939	1
K00940	1
K00941	1
K00942	1
K00943	1
K00945	1
K00948	1
K00949	1
K00950	1
K00954	1
K00956	1
K00957	1
K00962	1
K00969	1
K00970	1
K00971	1
K00973	1
K00975	1
K00979	1
K00981	1
K00982	1
K00986	1
K00989	1
K00990	1
K00992	1
K00997	1
K01000	1
K01004	1
K01006	1
K01011	1
K01026	1
K01031	1
K01032	1
K01046	1
K01048	1
K01053	1
K01054	1
K01055	1
K01056	1
K01057	1
K01060	1
K01061	1
K01066	1
K01069	1
K01070	1
K01075	1
K01077	1
K01079	1
K01082	1
K01087	1
K01091	1
K01092	1
K01114	1
K01118	1
K01119	1
K01126	1
K01129	1
K01130	1
K01133	1
K01134	1
K01139	1
K01142	1
K01159	1
K01160	1
K01169	1
K01174	1
K01175	1
K01178	1
K01181	1
K01182	1
K01184	1
K01185	1
K01186	1
K01190	1
K01191	1
K01192	1
K01193	1
K01198	1
K01206	1
K01207	1
K01209	1
K01214	1
K01217	1
K01218	1
K01236	1
K01239	1
K01240	1
K01241	1
K01243	1
K01246	1
K01247	1
K01251	1
K01255	1
K01256	1
K01258	1
K01259	1
K01262	1
K01265	1
K01271	1
K01273	1
K01284	1
K01286	1
K01322	1
K01323	1
K01338	1
K01354	1
K01356	1
K01358	1
K01406	1
K01409	1
K01419	1
K01420	1
K01423	1
K01425	1
K01426	1
K01428	1
K01429	1
K01430	1
K01433	1
K01438	1
K01439	1
K01443	1
K01448	1
K01449	1
K01451	1
K01455	1
K01457	1
K01458	1
K01462	1
K01464	1
K01465	1
K01466	1
K01468	1
K01470	1
K01473	1
K01474	1
K01476	1
K01478	1
K01480	1
K01483	1
K01485	1
K01486	1
K01487	1
K01489	1
K01491	1
K01494	1
K01495	1
K01496	1
K01501	1
K01507	1
K01512	1
K01517	1
K01519	1
K01520	1
K01523	1
K01524	1
K01533	1
K01534	1
K01546	1
K01547	1
K01548	1
K01554	1
K01560	1
K01561	1
